COMID,CAT_TMAX7100,ACC_TMAX7100,TOT_TMAX7100,CAT_TMIN7100,ACC_TMIN7100,TOT_TMIN7100,CAT_PPT7100_ANN,ACC_PPT7100_ANN,TOT_PPT7100_ANN,CAT_TAV7100_ANN,ACC_TAV7100_ANN,TOT_TAV7100_ANN,CAT_MAXWD6190,ACC_MAXWD6190,TOT_MAXWD6190,CAT_MAXP6190,ACC_MAXP6190,TOT_MAXP6190,CAT_MINWD6190,ACC_MINWD6190,TOT_MINWD6190,CAT_MINP6190,ACC_MINP6190,TOT_MINP6190,CAT_CWD,ACC_CWD,TOT_CWD,CAT_PRSNOW,ACC_PRSNOW,TOT_PRSNOW,CAT_AET,ACC_AET,TOT_AET,CAT_LSTFZ6190,ACC_LSTFZ6190,TOT_LSTFZ6190,CAT_FSTFZ6190,ACC_FSTFZ6190,TOT_FSTFZ6190,CAT_WDANN,ACC_WDANN,TOT_WDANN,ACC_WDJAN,ACC_WDFEB,ACC_WDMAR,ACC_WDAPR,ACC_WDMAY,ACC_WDJUN,ACC_WDJUL,ACC_WDAUG,ACC_WDSEP,ACC_WDOCT,ACC_WDNOV,ACC_WDDEC,CAT_WDJAN,CAT_WDFEB,CAT_WDMAR,CAT_WDAPR,CAT_WDMAY,CAT_WDJUN,CAT_WDJUL,CAT_WDAUG,CAT_WDSEP,CAT_WDOCT,CAT_WDNOV,CAT_WDDEC,TOT_WDJAN,TOT_WDFEB,TOT_WDMAR,TOT_WDAPR,TOT_WDMAY,TOT_WDJUN,TOT_WDJUL,TOT_WDAUG,TOT_WDSEP,TOT_WDOCT,TOT_WDNOV,TOT_WDDEC,CAT_RH,ACC_RH,TOT_RH,CAT_PET,ACC_PET,TOT_PET,ACC_PPT_JAN_2016,ACC_PPT_FEB_2016,ACC_PPT_MAR_2016,ACC_PPT_APR_2016,ACC_PPT_MAY_2016,ACC_PPT_JUN_2016,ACC_PPT_JUL_2016,ACC_PPT_AUG_2016,ACC_PPT_SEP_2016,ACC_PPT_OCT_2016,ACC_PPT_NOV_2016,ACC_PPT_DEC_2016,...1.y,ACC_PPT_JAN_2017,ACC_PPT_FEB_2017,ACC_PPT_MAR_2017,ACC_PPT_APR_2017,ACC_PPT_MAY_2017,ACC_PPT_JUN_2017,ACC_PPT_JUL_2017,ACC_PPT_AUG_2017,ACC_PPT_SEP_2017,ACC_PPT_OCT_2017,ACC_PPT_NOV_2017,ACC_PPT_DEC_2017,CAT_PPT_JAN_2016,CAT_PPT_FEB_2016,CAT_PPT_MAR_2016,CAT_PPT_APR_2016,CAT_PPT_MAY_2016,CAT_PPT_JUN_2016,CAT_PPT_JUL_2016,CAT_PPT_AUG_2016,CAT_PPT_SEP_2016,CAT_PPT_OCT_2016,CAT_PPT_NOV_2016,CAT_PPT_DEC_2016,...1.y.y,CAT_PPT_JAN_2017,CAT_PPT_FEB_2017,CAT_PPT_MAR_2017,CAT_PPT_APR_2017,CAT_PPT_MAY_2017,CAT_PPT_JUN_2017,CAT_PPT_JUL_2017,CAT_PPT_AUG_2017,CAT_PPT_SEP_2017,CAT_PPT_OCT_2017,CAT_PPT_NOV_2017,CAT_PPT_DEC_2017,TOT_PPT_JAN_2016,TOT_PPT_FEB_2016,TOT_PPT_MAR_2016,TOT_PPT_APR_2016,TOT_PPT_MAY_2016,TOT_PPT_JUN_2016,TOT_PPT_JUL_2016,TOT_PPT_AUG_2016,TOT_PPT_SEP_2016,TOT_PPT_OCT_2016,TOT_PPT_NOV_2016,TOT_PPT_DEC_2016,...1.y.y.y,TOT_PPT_JAN_2017,TOT_PPT_FEB_2017,TOT_PPT_MAR_2017,TOT_PPT_APR_2017,TOT_PPT_MAY_2017,TOT_PPT_JUN_2017,TOT_PPT_JUL_2017,TOT_PPT_AUG_2017,TOT_PPT_SEP_2017,TOT_PPT_OCT_2017,TOT_PPT_NOV_2017,TOT_PPT_DEC_2017,ACC_TAV_JAN_2016,ACC_TAV_FEB_2016,ACC_TAV_MAR_2016,ACC_TAV_APR_2016,ACC_TAV_MAY_2016,ACC_TAV_JUN_2016,ACC_TAV_JUL_2016,ACC_TAV_AUG_2016,ACC_TAV_SEP_2016,ACC_TAV_OCT_2016,ACC_TAV_NOV_2016,ACC_TAV_DEC_2016,ID.y,ACC_TAV_JAN_2017,ACC_TAV_FEB_2017,ACC_TAV_MAR_2017,ACC_TAV_APR_2017,ACC_TAV_MAY_2017,ACC_TAV_JUN_2017,ACC_TAV_JUL_2017,ACC_TAV_AUG_2017,ACC_TAV_SEP_2017,ACC_TAV_OCT_2017,ACC_TAV_NOV_2017,ACC_TAV_DEC_2017,CAT_TAV_JAN_2016,CAT_TAV_FEB_2016,CAT_TAV_MAR_2016,CAT_TAV_APR_2016,CAT_TAV_MAY_2016,CAT_TAV_JUN_2016,CAT_TAV_JUL_2016,CAT_TAV_AUG_2016,CAT_TAV_SEP_2016,CAT_TAV_OCT_2016,CAT_TAV_NOV_2016,CAT_TAV_DEC_2016,ID.y.y,CAT_TAV_JAN_2017,CAT_TAV_FEB_2017,CAT_TAV_MAR_2017,CAT_TAV_APR_2017,CAT_TAV_MAY_2017,CAT_TAV_JUN_2017,CAT_TAV_JUL_2017,CAT_TAV_AUG_2017,CAT_TAV_SEP_2017,CAT_TAV_OCT_2017,CAT_TAV_NOV_2017,CAT_TAV_DEC_2017,TOT_TAV_JAN_2016,TOT_TAV_FEB_2016,TOT_TAV_MAR_2016,TOT_TAV_APR_2016,TOT_TAV_MAY_2016,TOT_TAV_JUN_2016,TOT_TAV_JUL_2016,TOT_TAV_AUG_2016,TOT_TAV_SEP_2016,TOT_TAV_OCT_2016,TOT_TAV_NOV_2016,TOT_TAV_DEC_2016,ID.y.y.y,TOT_TAV_JAN_2017,TOT_TAV_FEB_2017,TOT_TAV_MAR_2017,TOT_TAV_APR_2017,TOT_TAV_MAY_2017,TOT_TAV_JUN_2017,TOT_TAV_JUL_2017,TOT_TAV_AUG_2017,TOT_TAV_SEP_2017,TOT_TAV_OCT_2017,TOT_TAV_NOV_2017,TOT_TAV_DEC_2017,CAT_ET,ACC_ET,TOT_ET
3917070,11.04,11.04,11.04,-0.78,-0.78,-0.78,734.63,734.63,734.63,5.36,5.36,5.36,12.99,12.99,12.99,129.29,129.29,129.29,2,2,2,12.99,12.99,12.99,2.36,2.36,2.36,39,39,39,322,322,322,179.17,179.17,179.17,254.42,254.42,254.42,90.02,90.02,90.02,11,9,10.75,7.75,6,5,2,3,4,7,11.75,12.75,11,9,10.75,7.75,6,5,2,3,4,7,11.75,12.75,11,9,10.75,7.75,6,5,2,3,4,7,11.75,12.75,66.28,66.28,66.28,457.58,457.58,457.58,156.49,61.25,148.57,61.81,40.12,28.23,4.34,0.92,8.02,243.56,120.9,185.86,406322,155.98,225.56,112.78,107.47,44.9,31.41,2.1,4.96,15.48,53.14,124.62,41.05,156.49,61.25,148.57,61.81,40.12,28.23,4.34,0.92,8.02,243.56,120.9,185.86,406322,155.98,225.56,112.78,107.47,44.9,31.41,2.1,4.96,15.48,53.14,124.62,41.05,156.49,61.25,148.57,61.81,40.12,28.23,4.34,0.92,8.02,243.56,120.9,185.86,406322,155.98,225.56,112.78,107.47,44.9,31.41,2.1,4.96,15.48,53.14,124.62,41.05,-0.81,3.33,2.31,7.82,9.59,14.52,18.06,20.33,14.46,7.04,4.19,-2.19,406322,-2.02,0.55,2.97,3.22,10.27,14.4,20.74,21.24,15.36,8.68,2.38,1.9,-0.81,3.33,2.31,7.82,9.59,14.52,18.06,20.33,14.46,7.04,4.19,-2.19,406322,-2.02,0.55,2.97,3.22,10.27,14.4,20.74,21.24,15.36,8.68,2.38,1.9,-0.81,3.33,2.31,7.82,9.59,14.52,18.06,20.33,14.46,7.04,4.19,-2.19,406322,-2.02,0.55,2.97,3.22,10.27,14.4,20.74,21.24,15.36,8.68,2.38,1.9,461,461,461
3917072,12.21,12.21,12.21,0.13,0.13,0.13,698.86,698.86,698.86,6,6,6,13,13,13,130,130,130,2,2,2,13,13,13,2.36,2.36,2.36,39,39,39,318.45,318.45,318.45,174,174,174,257,257,257,87,87,87,11,9,10,7,6,5,2,3,4,7,11,12,11,9,10,7,6,5,2,3,4,7,11,12,11,9,10,7,6,5,2,3,4,7,11,12,65,65,65,473,473,473,155.99,59.31,148.41,61.56,40,28.31,4.28,0.93,7.76,243.46,120.31,184.6,406323,155.57,218.93,112.05,106.91,44.04,30.93,2.17,4.76,15.15,52.63,124.02,40.73,155.99,59.31,148.41,61.56,39.99,28.31,4.28,0.93,7.76,243.46,120.31,184.6,406323,155.57,218.93,112.05,106.91,44.04,30.93,2.17,4.76,15.15,52.63,124.02,40.73,155.99,59.31,148.41,61.56,40,28.31,4.28,0.93,7.76,243.46,120.31,184.6,406323,155.57,218.93,112.05,106.91,44.04,30.93,2.17,4.76,15.15,52.63,124.02,40.73,-0.75,3.41,2.41,7.92,9.69,14.63,18.19,20.46,14.58,7.14,4.26,-2.16,406323,-1.97,0.62,3.06,3.32,10.39,14.51,20.87,21.37,15.47,8.78,2.45,1.9,-0.75,3.41,2.41,7.92,9.69,14.63,18.19,20.46,14.58,7.14,4.26,-2.16,406323,-1.97,0.62,3.06,3.32,10.39,14.51,20.87,21.37,15.47,8.78,2.45,1.9,-0.75,3.41,2.41,7.92,9.69,14.63,18.19,20.46,14.58,7.14,4.26,-2.16,406323,-1.97,0.62,3.06,3.32,10.39,14.51,20.87,21.37,15.47,8.78,2.45,1.9,503,503,503
3917082,11.61,11.61,11.61,-0.76,-0.76,-0.76,659.49,659.49,659.49,5.55,5.55,5.55,11.13,11.13,11.13,104.31,104.31,104.31,2,2,2,11.9,11.9,11.9,2.36,2.36,2.36,39.6,39.6,39.6,414.37,414.37,414.37,182.09,182.09,182.09,251.86,251.86,251.86,82.01,82.01,82.01,9.65,8.65,9.65,6.79,6,5,2,3,3.75,5.86,10.81,10.85,9.65,8.65,9.65,6.79,6,5,2,3,3.75,5.86,10.81,10.85,9.65,8.65,9.65,6.79,6,5,2,3,3.75,5.86,10.81,10.85,63.44,63.44,63.44,454.64,454.64,454.64,179.04,74.79,169.52,65.01,34,24.74,3.28,1.13,4.03,261.9,133.89,197,406328,185.1,260.75,132.09,122.46,42.44,46.1,2.21,3.99,19.41,60.66,129.67,46.7,179.04,74.79,169.52,65.01,34,24.74,3.28,1.13,4.03,261.9,133.89,197,406328,185.1,260.75,132.09,122.46,42.44,46.1,2.21,3.99,19.41,60.66,129.67,46.7,179.04,74.79,169.52,65.01,34,24.74,3.28,1.13,4.03,261.9,133.89,197,406328,185.1,260.75,132.09,122.46,42.44,46.1,2.21,3.99,19.41,60.66,129.67,46.7,-1.35,2.55,1.29,6.73,8.34,13.36,16.98,19.18,13.39,6.25,3.29,-2.74,406328,-2.8,-0.16,1.99,2.05,9.18,13.34,19.82,20.1,14.13,7.78,1.83,1.14,-1.35,2.55,1.29,6.73,8.34,13.36,16.98,19.18,13.39,6.25,3.29,-2.74,406328,-2.8,-0.16,1.99,2.05,9.18,13.34,19.82,20.1,14.13,7.78,1.83,1.14,-1.35,2.55,1.29,6.73,8.34,13.36,16.98,19.18,13.39,6.25,3.29,-2.74,406328,-2.8,-0.16,1.99,2.05,9.18,13.34,19.82,20.1,14.13,7.78,1.83,1.14,484,484,484
3917084,11.87,11.87,11.87,-0.18,-0.18,-0.18,688.26,688.26,688.26,5.08,5.08,5.08,11.92,11.92,11.92,116.37,116.37,116.37,2,2,2,12.12,12.12,12.12,2.36,2.36,2.36,39.87,39.87,39.87,451.14,451.14,451.14,183.07,183.07,183.07,252.07,252.07,252.07,85.21,85.21,85.21,10.18,8.92,9.95,6.99,6,5,2,3,3.95,6.01,11.53,11.67,10.18,8.92,9.95,6.99,6,5,2,3,3.95,6.01,11.53,11.67,10.18,8.92,9.95,6.99,6,5,2,3,3.95,6.01,11.53,11.67,65.1,65.1,65.1,441.89,441.89,441.89,164.69,67.13,159.99,64.35,36,25.18,3.69,1.07,4.54,255.82,128.18,189.95,406329,166.93,243.39,121.3,118.13,42.91,39.38,2.3,4.51,17.57,56.74,127.04,43.62,164.69,67.13,159.99,64.35,36,25.18,3.69,1.07,4.54,255.82,128.18,189.95,406329,166.93,243.39,121.3,118.13,42.91,39.38,2.3,4.51,17.57,56.74,127.04,43.62,164.69,67.13,159.99,64.35,36,25.18,3.69,1.07,4.54,255.82,128.18,189.95,406329,166.93,243.39,121.3,118.13,42.91,39.38,2.3,4.51,17.57,56.74,127.04,43.62,-0.91,2.99,1.91,7.27,9,13.99,17.5,19.67,13.95,6.72,3.87,-2.4,406329,-2.29,0.23,2.55,2.65,9.79,13.91,20.21,20.6,14.76,8.21,2.22,1.46,-0.91,2.99,1.91,7.27,9,13.99,17.5,19.67,13.95,6.72,3.87,-2.4,406329,-2.29,0.23,2.55,2.65,9.79,13.91,20.21,20.6,14.76,8.21,2.22,1.46,-0.91,2.99,1.91,7.27,9,13.99,17.5,19.67,13.95,6.72,3.87,-2.4,406329,-2.29,0.23,2.55,2.65,9.79,13.91,20.21,20.6,14.76,8.21,2.22,1.46,494,494,494
3917106,12.75,12.19,12.19,0.49,0.05,0.05,638.38,667.6,667.6,5.83,5.39,5.39,10.49,11.33,11.33,96.05,107.93,107.93,2,2,2,10.92,11.65,11.65,2.36,2.36,2.36,38.01,39.14,39.14,410.92,433.72,433.72,179.73,181.74,181.74,253.15,252.47,252.47,78.91,82.62,82.62,9.79,8.65,9.66,6.73,6,5,2,3,3.58,5.96,11.02,11.23,9.24,8.24,9.24,6.35,6,5,2,3,3.01,5.89,10.31,10.64,9.79,8.65,9.66,6.73,6,5,2,3,3.58,5.96,11.02,11.23,63.54,64.41,64.41,464.16,451.11,451.11,164.99,66.73,158.76,62.42,34.85,25.6,3.58,1.08,4.36,252.98,124.39,185.22,406340,167.04,239.02,120.37,116.72,41.11,40.22,2.27,4.39,17.68,55.24,123.51,42.22,163.39,64.97,155.39,59.22,33.29,26.34,3.47,1.1,4.12,247.51,117.43,176.57,406340,164.58,229.42,117.31,113.82,38.28,40.61,2.24,4.28,17.58,52.23,117.42,39.5,164.99,66.73,158.76,62.42,34.85,25.6,3.58,1.08,4.36,252.98,124.39,185.22,406340,167.04,239.02,120.37,116.72,41.11,40.22,2.27,4.39,17.68,55.24,123.51,42.22,-0.9,3.04,1.95,7.32,9.01,14,17.54,19.72,13.96,6.75,3.86,-2.39,406340,-2.32,0.3,2.62,2.68,9.82,13.94,20.28,20.65,14.75,8.24,2.26,1.46,-0.82,3.19,2.12,7.47,9.13,14.12,17.69,19.87,14.07,6.87,3.93,-2.31,406340,-2.28,0.47,2.81,2.83,9.94,14.07,20.44,20.79,14.82,8.35,2.38,1.5,-0.9,3.04,1.95,7.32,9.01,14,17.54,19.72,13.96,6.75,3.86,-2.39,406340,-2.32,0.3,2.62,2.68,9.82,13.94,20.28,20.65,14.75,8.24,2.26,1.46,488,491,491
3917114,14.14,14.14,14.14,1.82,1.82,1.82,615.53,615.53,615.53,5.75,5.75,5.75,12.03,12.03,12.03,117.1,117.1,117.1,2,2,2,11.4,11.4,11.4,2.36,2.36,2.36,37.51,37.51,37.51,434.88,434.88,434.88,176.9,176.9,176.9,255.4,255.4,255.4,84.71,84.71,84.71,10.19,9,10,7,6,5,2,3,3.26,6.19,11.07,12,10.19,9,10,7,6,5,2,3,3.26,6.19,11.07,12,10.19,9,10,7,6,5,2,3,3.26,6.19,11.07,12,65,65,65,471.91,471.91,471.91,149.75,54.22,141.04,55.28,34.6,27.63,3.82,0.98,5.24,229.1,106.21,160.21,406344,147.23,201.46,102.35,100.81,36.2,30.64,2.22,4.76,14.46,45.11,110.82,34.58,149.75,54.22,141.04,55.28,34.6,27.63,3.82,0.98,5.24,229.1,106.21,160.21,406344,147.23,201.46,102.35,100.81,36.2,30.64,2.22,4.76,14.46,45.11,110.82,34.58,149.75,54.22,141.04,55.28,34.6,27.63,3.82,0.98,5.24,229.1,106.21,160.21,406344,147.23,201.46,102.35,100.81,36.2,30.64,2.22,4.76,14.46,45.11,110.82,34.58,-0.24,3.82,3.01,8.33,10.14,15.09,18.48,20.62,14.88,7.54,4.69,-1.84,406344,-1.7,1.08,3.6,3.77,10.88,14.99,21.1,21.57,15.72,9,2.97,1.89,-0.24,3.82,3.01,8.33,10.14,15.09,18.48,20.62,14.88,7.54,4.69,-1.84,406344,-1.7,1.08,3.6,3.77,10.88,14.99,21.1,21.57,15.72,9,2.97,1.89,-0.24,3.82,3.01,8.33,10.14,15.09,18.48,20.62,14.88,7.54,4.69,-1.84,406344,-1.7,1.08,3.6,3.77,10.88,14.99,21.1,21.57,15.72,9,2.97,1.89,495,495,495
3917130,13.74,12.93,12.93,1.39,1.02,1.02,623.47,620.59,620.59,5.87,5.99,5.99,11.67,10.72,10.72,110.65,100.15,100.15,2,2,2,11.22,11.17,11.17,2.36,2.36,2.36,37.62,38.23,38.23,496.86,431.62,431.62,177.14,178.57,178.57,255.03,253.67,253.67,82.81,79.14,79.14,9.22,8.14,9.18,6.57,6.09,5,2,3,3.24,5.75,10.31,10.63,9.84,8.84,9.84,6.84,6.11,5,2,3,3.02,6,10.85,11.48,9.22,8.14,9.18,6.57,6.09,5,2,3,3.24,5.75,10.31,10.63,64.99,63.89,63.89,475.49,473.04,473.04,146.86,54.11,140.25,52.01,33.39,30.18,3.75,1.18,4.24,225.42,97.71,153.09,406352,141.96,193.47,101.32,108.18,33.02,35.54,2.16,4.61,15.73,41.14,102.65,30.48,136.08,47.12,129.91,48.7,31.81,30.04,3.82,1.02,4.31,215.79,90.52,138.26,406352,127.36,175.22,90.35,98.53,29.45,29.29,2.23,4.94,13.3,35.34,97.84,26.18,146.86,54.11,140.25,52.01,33.39,30.18,3.75,1.18,4.24,225.42,97.71,153.09,406352,141.96,193.47,101.32,108.18,33.02,35.54,2.16,4.61,15.73,41.14,102.65,30.48,-0.41,3.7,2.75,8.02,9.75,14.71,18.29,20.43,14.63,7.34,4.43,-2.01,406352,-1.88,0.96,3.44,3.41,10.52,14.62,20.93,21.33,15.38,8.8,2.79,1.77,0,4.14,3.45,8.61,10.42,15.34,18.76,20.88,15.04,7.71,4.92,-1.67,406352,-1.51,1.43,4.08,4.08,11.17,15.27,21.39,21.8,15.85,9.2,3.2,2.04,-0.41,3.7,2.75,8.02,9.75,14.71,18.29,20.43,14.63,7.34,4.43,-2.01,406352,-1.88,0.96,3.44,3.41,10.52,14.62,20.93,21.33,15.38,8.8,2.79,1.77,500,480,480
3917136,12.42,12.42,12.42,0.3,0.3,0.3,650.56,650.56,650.56,5.98,5.98,5.98,10,10,10,89.39,89.39,89.39,2,2,2,11,11,11,2.36,2.36,2.36,37.86,37.86,37.86,385.17,385.17,385.17,179.95,179.95,179.95,252.54,252.54,252.54,72.69,72.69,72.69,8.15,7.15,8.15,6,6,5,2,3,3,5.15,9.5,9.6,8.15,7.15,8.15,6,6,5,2,3,3,5.15,9.5,9.6,8.15,7.15,8.15,6,6,5,2,3,3,5.15,9.5,9.6,62.49,62.49,62.49,480.8,480.8,480.8,159.57,62.91,149.82,55.08,31.56,26.8,3.41,1.12,4.02,242.39,106.47,166.06,406355,159.92,216.92,112.8,109.12,35.78,41.32,2.21,4.13,17.77,49.08,108.19,36.11,159.57,62.91,149.82,55.08,31.56,26.8,3.41,1.12,4.02,242.39,106.47,166.06,406355,159.92,216.92,112.8,109.12,35.78,41.32,2.21,4.13,17.77,49.08,108.19,36.11,159.57,62.91,149.82,55.08,31.56,26.8,3.41,1.12,4.02,242.39,106.47,166.06,406355,159.92,216.92,112.8,109.12,35.78,41.32,2.21,4.13,17.77,49.08,108.19,36.11,-0.6,3.52,2.47,7.81,9.42,14.4,18.05,20.24,14.39,7.2,4.15,-2.11,406355,-2.11,0.82,3.18,3.17,10.23,14.35,20.79,21.14,15.09,8.64,2.67,1.65,-0.6,3.52,2.47,7.81,9.42,14.4,18.05,20.24,14.39,7.2,4.15,-2.11,406355,-2.11,0.82,3.18,3.17,10.23,14.35,20.79,21.14,15.09,8.64,2.67,1.65,-0.6,3.52,2.47,7.81,9.42,14.4,18.05,20.24,14.39,7.2,4.15,-2.11,406355,-2.11,0.82,3.18,3.17,10.23,14.35,20.79,21.14,15.09,8.64,2.67,1.65,464,464,464
3917138,13.47,13.47,13.47,1.46,1.46,1.46,622.54,622.54,622.54,5.9,5.9,5.9,10,10,10,91,91,91,2,2,2,11,11,11,2.36,2.36,2.36,38,38,38,401.55,401.55,401.55,180,180,180,253,253,253,71,71,71,8,7,8,6,6,5,2,3,3,5,9,9,8,7,8,6,6,5,2,3,3,5,9,9,8,7,8,6,6,5,2,3,3,5,9,9,63,63,63,486.18,486.18,486.18,131.9,45.95,123.38,42.81,29.19,29.47,3.67,1.1,4.08,217.24,71.54,126.27,406356,124.26,157.61,86.21,91.85,27.67,33.57,2.25,4.44,15.29,33.87,81.27,22.3,131.9,45.95,123.38,42.81,29.19,29.47,3.67,1.1,4.08,217.24,71.54,126.27,406356,124.25,157.61,86.21,91.85,27.67,33.57,2.25,4.44,15.29,33.87,81.27,22.3,131.9,45.95,123.38,42.81,29.19,29.47,3.67,1.1,4.08,217.24,71.54,126.27,406356,124.26,157.61,86.21,91.85,27.67,33.57,2.25,4.44,15.29,33.87,81.27,22.3,0.44,4.84,4.09,9.27,10.91,15.84,19.51,21.66,15.76,8.49,5.37,-1.26,406356,-1.13,2.13,4.8,4.7,11.7,15.75,22.08,22.56,16.42,9.81,3.81,2.36,0.44,4.84,4.09,9.27,10.91,15.84,19.51,21.66,15.76,8.49,5.37,-1.26,406356,-1.13,2.13,4.8,4.7,11.7,15.75,22.08,22.56,16.42,9.81,3.81,2.36,0.44,4.84,4.09,9.27,10.91,15.84,19.51,21.66,15.76,8.49,5.37,-1.26,406356,-1.13,2.13,4.8,4.7,11.7,15.75,22.08,22.56,16.42,9.81,3.81,2.36,445,445,445
3917154,13.34,12.91,12.91,1.38,0.98,0.98,656.93,671.33,671.33,5.75,5.69,5.69,12.6,12.67,12.67,125.44,126.18,126.18,2,2,2,12.42,12.53,12.53,2.36,2.36,2.36,38.56,38.64,38.64,370.67,361.41,361.41,176.14,176.67,176.67,255.95,255.68,255.68,86.68,87.29,87.29,10.72,9,10.3,7.3,6.11,5,2,3,3.72,6.72,11.2,12.2,10.66,9,10.2,7.2,6.13,5,2,3,3.66,6.66,11.08,12.08,10.72,9,10.3,7.3,6.11,5,2,3,3.72,6.72,11.2,12.2,65.22,65.41,65.41,473.75,470.83,470.83,153.9,57.83,145.51,59.33,38.32,28.19,4.15,0.94,7.12,237.98,115.32,176.44,406364,152.73,213.74,108.7,104.35,41.62,30.66,2.16,4.8,14.89,50.07,119.54,38.65,153.3,57.06,144.8,58.75,37.9,28.18,4.11,0.94,6.91,236.68,114.02,174.25,406364,151.97,211.05,107.76,103.63,40.86,30.49,2.18,4.76,14.76,49.36,118.36,38.09,153.9,57.83,145.51,59.33,38.32,28.19,4.15,0.94,7.12,237.98,115.32,176.44,406364,152.73,213.74,108.7,104.35,41.62,30.66,2.16,4.8,14.89,50.07,119.54,38.65,-0.59,3.54,2.61,8.06,9.85,14.79,18.29,20.52,14.68,7.27,4.4,-2.05,406364,-1.89,0.77,3.24,3.48,10.55,14.67,20.95,21.44,15.56,8.86,2.62,1.91,-0.54,3.59,2.67,8.12,9.91,14.85,18.34,20.56,14.73,7.32,4.45,-2.02,406364,-1.85,0.82,3.3,3.54,10.61,14.73,21,21.49,15.6,8.9,2.67,1.91,-0.59,3.54,2.61,8.06,9.85,14.79,18.29,20.52,14.68,7.27,4.4,-2.05,406364,-1.89,0.77,3.24,3.48,10.55,14.67,20.95,21.44,15.56,8.86,2.62,1.91,504,496,496
3917156,15.22,15.22,15.22,2.19,2.19,2.19,593.5,593.5,593.5,7.3,7.3,7.3,11,11,11,103,103,103,2,2,2,10,10,10,2.36,2.36,2.36,37.71,37.71,37.71,252.17,252.17,252.17,166,166,166,261,261,261,85.07,85.07,85.07,9.99,8.99,10.37,7.37,6.37,5,2,3,3,6,10.99,11.99,9.99,8.99,10.37,7.37,6.37,5,2,3,3,6,10.99,11.99,9.99,8.99,10.37,7.37,6.37,5,2,3,3,6,10.99,11.99,65,65,65,506.72,506.72,506.72,141.1,46.41,124.67,45.83,31.86,29.73,3.83,0.92,6.05,202.24,85.24,132.9,406365,135.45,171.89,88.22,83.38,29.67,25.12,2.05,4.81,12.03,35.02,94.92,26.91,141.1,46.41,124.67,45.83,31.86,29.73,3.83,0.92,6.05,202.24,85.24,132.9,406365,135.45,171.89,88.22,83.38,29.67,25.12,2.05,4.81,12.03,35.02,94.92,26.91,141.1,46.41,124.67,45.83,31.86,29.73,3.83,0.92,6.05,202.24,85.24,132.9,406365,135.45,171.89,88.22,83.38,29.67,25.12,2.05,4.81,12.03,35.02,94.92,26.91,0.23,4.45,3.84,9.18,11.02,15.95,19.29,21.39,15.61,8.19,5.27,-1.4,406365,-1.34,1.76,4.41,4.67,11.7,15.84,21.86,22.34,16.45,9.65,3.56,2.19,0.23,4.45,3.84,9.18,11.02,15.95,19.29,21.39,15.61,8.19,5.27,-1.4,406365,-1.34,1.76,4.41,4.67,11.7,15.84,21.86,22.34,16.45,9.65,3.56,2.19,0.23,4.45,3.84,9.18,11.02,15.95,19.29,21.39,15.61,8.19,5.27,-1.4,406365,-1.34,1.76,4.41,4.67,11.7,15.84,21.86,22.34,16.45,9.65,3.56,2.19,486,486,486
