COMID,CAT_TMAX7100,ACC_TMAX7100,TOT_TMAX7100,CAT_TMIN7100,ACC_TMIN7100,TOT_TMIN7100,CAT_PPT7100_ANN,ACC_PPT7100_ANN,TOT_PPT7100_ANN,CAT_TAV7100_ANN,ACC_TAV7100_ANN,TOT_TAV7100_ANN,CAT_MAXWD6190,ACC_MAXWD6190,TOT_MAXWD6190,CAT_MAXP6190,ACC_MAXP6190,TOT_MAXP6190,CAT_MINWD6190,ACC_MINWD6190,TOT_MINWD6190,CAT_MINP6190,ACC_MINP6190,TOT_MINP6190,CAT_CWD,ACC_CWD,TOT_CWD,CAT_PRSNOW,ACC_PRSNOW,TOT_PRSNOW,CAT_AET,ACC_AET,TOT_AET,CAT_LSTFZ6190,ACC_LSTFZ6190,TOT_LSTFZ6190,CAT_FSTFZ6190,ACC_FSTFZ6190,TOT_FSTFZ6190,CAT_WDANN,ACC_WDANN,TOT_WDANN,ACC_WDJAN,ACC_WDFEB,ACC_WDMAR,ACC_WDAPR,ACC_WDMAY,ACC_WDJUN,ACC_WDJUL,ACC_WDAUG,ACC_WDSEP,ACC_WDOCT,ACC_WDNOV,ACC_WDDEC,CAT_WDJAN,CAT_WDFEB,CAT_WDMAR,CAT_WDAPR,CAT_WDMAY,CAT_WDJUN,CAT_WDJUL,CAT_WDAUG,CAT_WDSEP,CAT_WDOCT,CAT_WDNOV,CAT_WDDEC,TOT_WDJAN,TOT_WDFEB,TOT_WDMAR,TOT_WDAPR,TOT_WDMAY,TOT_WDJUN,TOT_WDJUL,TOT_WDAUG,TOT_WDSEP,TOT_WDOCT,TOT_WDNOV,TOT_WDDEC,CAT_RH,ACC_RH,TOT_RH,CAT_PET,ACC_PET,TOT_PET,ACC_PPT_JAN_2016,ACC_PPT_FEB_2016,ACC_PPT_MAR_2016,ACC_PPT_APR_2016,ACC_PPT_MAY_2016,ACC_PPT_JUN_2016,ACC_PPT_JUL_2016,ACC_PPT_AUG_2016,ACC_PPT_SEP_2016,ACC_PPT_OCT_2016,ACC_PPT_NOV_2016,ACC_PPT_DEC_2016,...1.y,ACC_PPT_JAN_2017,ACC_PPT_FEB_2017,ACC_PPT_MAR_2017,ACC_PPT_APR_2017,ACC_PPT_MAY_2017,ACC_PPT_JUN_2017,ACC_PPT_JUL_2017,ACC_PPT_AUG_2017,ACC_PPT_SEP_2017,ACC_PPT_OCT_2017,ACC_PPT_NOV_2017,ACC_PPT_DEC_2017,CAT_PPT_JAN_2016,CAT_PPT_FEB_2016,CAT_PPT_MAR_2016,CAT_PPT_APR_2016,CAT_PPT_MAY_2016,CAT_PPT_JUN_2016,CAT_PPT_JUL_2016,CAT_PPT_AUG_2016,CAT_PPT_SEP_2016,CAT_PPT_OCT_2016,CAT_PPT_NOV_2016,CAT_PPT_DEC_2016,...1.y.y,CAT_PPT_JAN_2017,CAT_PPT_FEB_2017,CAT_PPT_MAR_2017,CAT_PPT_APR_2017,CAT_PPT_MAY_2017,CAT_PPT_JUN_2017,CAT_PPT_JUL_2017,CAT_PPT_AUG_2017,CAT_PPT_SEP_2017,CAT_PPT_OCT_2017,CAT_PPT_NOV_2017,CAT_PPT_DEC_2017,TOT_PPT_JAN_2016,TOT_PPT_FEB_2016,TOT_PPT_MAR_2016,TOT_PPT_APR_2016,TOT_PPT_MAY_2016,TOT_PPT_JUN_2016,TOT_PPT_JUL_2016,TOT_PPT_AUG_2016,TOT_PPT_SEP_2016,TOT_PPT_OCT_2016,TOT_PPT_NOV_2016,TOT_PPT_DEC_2016,...1.y.y.y,TOT_PPT_JAN_2017,TOT_PPT_FEB_2017,TOT_PPT_MAR_2017,TOT_PPT_APR_2017,TOT_PPT_MAY_2017,TOT_PPT_JUN_2017,TOT_PPT_JUL_2017,TOT_PPT_AUG_2017,TOT_PPT_SEP_2017,TOT_PPT_OCT_2017,TOT_PPT_NOV_2017,TOT_PPT_DEC_2017,ACC_TAV_JAN_2016,ACC_TAV_FEB_2016,ACC_TAV_MAR_2016,ACC_TAV_APR_2016,ACC_TAV_MAY_2016,ACC_TAV_JUN_2016,ACC_TAV_JUL_2016,ACC_TAV_AUG_2016,ACC_TAV_SEP_2016,ACC_TAV_OCT_2016,ACC_TAV_NOV_2016,ACC_TAV_DEC_2016,ID.y,ACC_TAV_JAN_2017,ACC_TAV_FEB_2017,ACC_TAV_MAR_2017,ACC_TAV_APR_2017,ACC_TAV_MAY_2017,ACC_TAV_JUN_2017,ACC_TAV_JUL_2017,ACC_TAV_AUG_2017,ACC_TAV_SEP_2017,ACC_TAV_OCT_2017,ACC_TAV_NOV_2017,ACC_TAV_DEC_2017,CAT_TAV_JAN_2016,CAT_TAV_FEB_2016,CAT_TAV_MAR_2016,CAT_TAV_APR_2016,CAT_TAV_MAY_2016,CAT_TAV_JUN_2016,CAT_TAV_JUL_2016,CAT_TAV_AUG_2016,CAT_TAV_SEP_2016,CAT_TAV_OCT_2016,CAT_TAV_NOV_2016,CAT_TAV_DEC_2016,ID.y.y,CAT_TAV_JAN_2017,CAT_TAV_FEB_2017,CAT_TAV_MAR_2017,CAT_TAV_APR_2017,CAT_TAV_MAY_2017,CAT_TAV_JUN_2017,CAT_TAV_JUL_2017,CAT_TAV_AUG_2017,CAT_TAV_SEP_2017,CAT_TAV_OCT_2017,CAT_TAV_NOV_2017,CAT_TAV_DEC_2017,TOT_TAV_JAN_2016,TOT_TAV_FEB_2016,TOT_TAV_MAR_2016,TOT_TAV_APR_2016,TOT_TAV_MAY_2016,TOT_TAV_JUN_2016,TOT_TAV_JUL_2016,TOT_TAV_AUG_2016,TOT_TAV_SEP_2016,TOT_TAV_OCT_2016,TOT_TAV_NOV_2016,TOT_TAV_DEC_2016,ID.y.y.y,TOT_TAV_JAN_2017,TOT_TAV_FEB_2017,TOT_TAV_MAR_2017,TOT_TAV_APR_2017,TOT_TAV_MAY_2017,TOT_TAV_JUN_2017,TOT_TAV_JUL_2017,TOT_TAV_AUG_2017,TOT_TAV_SEP_2017,TOT_TAV_OCT_2017,TOT_TAV_NOV_2017,TOT_TAV_DEC_2017,CAT_ET,ACC_ET,TOT_ET
3917158,17.39,17.39,17.39,2.81,2.81,2.81,634.52,634.52,634.52,9.12,9.12,9.12,11,11,11,87,87,87,2,2,2,7.19,7.19,7.19,2.36,2.36,2.36,30.78,30.78,30.78,6.5,6.5,6.5,153.77,153.77,153.77,265.81,265.81,265.81,79.67,79.67,79.67,9,8.35,9.35,7,6,4.99,2,3,3,6,10,10.99,9,8.35,9.35,7,6,4.99,2,3,3,6,10,10.99,9,8.35,9.35,7,6,4.99,2,3,3,6,10,10.99,65,65,65,593.26,593.26,593.26,141.69,37.15,107.69,31.19,24.75,28.82,4.03,0.81,4.95,154.05,61.27,95.92,406366,138.29,140.32,70.7,48.69,17.37,17.39,0.92,4.89,10,21.37,70.65,17.68,141.69,37.15,107.69,31.19,24.75,28.82,4.03,0.81,4.95,154.05,61.27,95.92,406366,138.29,140.32,70.7,48.69,17.37,17.39,0.92,4.89,10,21.37,70.65,17.68,141.69,37.15,107.69,31.19,24.75,28.82,4.03,0.81,4.95,154.05,61.27,95.92,406366,138.29,140.32,70.7,48.69,17.37,17.39,0.92,4.89,10,21.37,70.65,17.68,2.52,5.88,6.64,11.4,13.65,18.57,21.48,22.66,16.89,10.17,7.14,0.09,406366,-0.54,3.96,6.63,7.31,13.88,18.33,23.58,23.73,17.82,10.74,5.79,1.94,2.52,5.88,6.64,11.4,13.65,18.57,21.48,22.66,16.89,10.17,7.14,0.09,406366,-0.54,3.96,6.63,7.31,13.88,18.33,23.58,23.73,17.82,10.74,5.79,1.94,2.52,5.88,6.64,11.4,13.65,18.57,21.48,22.66,16.89,10.17,7.14,0.09,406366,-0.54,3.96,6.63,7.31,13.88,18.33,23.58,23.73,17.82,10.74,5.79,1.94,503,503,503
3917160,17.15,17.15,17.15,2.84,2.84,2.84,633.69,633.69,633.69,9.04,9.04,9.04,10.57,10.57,10.57,87.01,87.01,87.01,2,2,2,7.37,7.37,7.37,2.36,2.36,2.36,30.29,30.29,30.29,7.3,7.3,7.3,153.55,153.55,153.55,266.04,266.04,266.04,79.69,79.69,79.69,9,8.29,9.29,7,6,5,2,3,3,6,10.11,11,9,8.29,9.29,7,6,5,2,3,3,6,10.11,11,9,8.29,9.29,7,6,5,2,3,3,6,10.11,11,65,65,65,594.59,594.59,594.59,146.12,40.24,111.94,34.24,25.4,27.71,4.01,0.83,5.75,156.57,65.57,95.96,406367,145.69,150.67,76.31,53.28,19.22,17.61,0.8,4.38,10.58,23.72,74.2,18,146.12,40.24,111.94,34.24,25.4,27.71,4.01,0.83,5.75,156.57,65.57,95.96,406367,145.69,150.67,76.31,53.28,19.22,17.61,0.8,4.38,10.58,23.72,74.2,18,146.12,40.24,111.94,34.24,25.4,27.71,4.01,0.83,5.75,156.57,65.57,95.96,406367,145.69,150.67,76.31,53.28,19.22,17.61,0.8,4.38,10.58,23.72,74.2,18,2.19,5.92,6.39,11.29,13.48,18.35,21.25,22.7,16.89,9.98,7,0.06,406367,-0.42,3.85,6.55,7.11,13.74,18.14,23.46,23.72,17.78,10.84,5.53,2.14,2.19,5.92,6.39,11.29,13.48,18.35,21.25,22.7,16.89,9.98,7,0.06,406367,-0.42,3.85,6.55,7.11,13.74,18.14,23.46,23.72,17.78,10.84,5.53,2.14,2.19,5.92,6.39,11.29,13.48,18.35,21.25,22.7,16.89,9.98,7,0.06,406367,-0.42,3.85,6.55,7.11,13.74,18.14,23.46,23.72,17.78,10.84,5.53,2.14,519,519,519
3917162,13.84,13.04,13.04,1.42,1.07,1.07,615.88,620.08,620.08,6.46,6.03,6.03,11.39,10.81,10.81,109.47,101.33,101.33,2,2,2,10.79,11.14,11.14,2.36,2.36,2.36,37.42,38.15,38.15,462.14,434.26,434.26,173,178.06,178.06,256.79,253.97,253.97,83.12,79.61,79.61,9.31,8.22,9.27,6.62,6.09,5,2,3,3.22,5.78,10.38,10.72,10,8.83,10,7,6.14,5,2,3,3,6,10.83,11.31,9.31,8.22,9.27,6.62,6.09,5,2,3,3.22,5.78,10.38,10.72,65,64.01,64.01,491.88,474.6,474.6,145.62,53.02,138.39,51.16,33.08,30.24,3.75,1.16,4.28,222.77,95.91,150.07,406368,140.32,190.27,99.51,106.07,32.3,34.55,2.15,4.64,15.33,40.06,101.36,29.7,131.35,41.16,117.98,40.98,29.31,31.64,3.73,1,4.52,192.97,73.99,115.22,406368,120.93,153.19,79.54,85.14,23.55,25.14,2.08,4.96,11.38,27.14,85.03,20.11,145.62,53.02,138.39,51.16,33.08,30.24,3.75,1.16,4.28,222.77,95.91,150.07,406368,140.32,190.27,99.51,106.07,32.3,34.55,2.15,4.64,15.33,40.06,101.36,29.7,-0.34,3.78,2.87,8.14,9.87,14.83,18.39,20.52,14.71,7.42,4.51,-1.94,406368,-1.82,1.05,3.55,3.54,10.64,14.74,21.02,21.42,15.48,8.87,2.87,1.81,0.4,4.63,4.1,9.28,11.12,16.03,19.36,21.42,15.61,8.23,5.38,-1.31,406368,-1.24,1.97,4.7,4.78,11.83,15.96,21.93,22.36,16.42,9.68,3.7,2.23,-0.34,3.78,2.87,8.14,9.87,14.83,18.39,20.52,14.71,7.42,4.51,-1.94,406368,-1.82,1.05,3.55,3.54,10.64,14.74,21.02,21.42,15.48,8.87,2.87,1.81,485,480,480
3917164,16.33,16.33,16.33,3.11,3.11,3.11,622.98,622.98,622.98,8.25,8.25,8.25,10.88,10.88,10.88,88.86,88.86,88.86,2,2,2,8.86,8.86,8.86,2.36,2.36,2.36,32.85,32.85,32.85,41.4,41.4,41.4,159.67,159.67,159.67,263.67,263.67,263.67,81.77,81.77,81.77,9.05,8.84,9.95,7.48,6.05,5,2,3,3,6,10.5,10.91,9.05,8.84,9.95,7.48,6.05,5,2,3,3,6,10.5,10.91,9.05,8.84,9.95,7.48,6.05,5,2,3,3,6,10.5,10.91,65,65,65,555.27,555.27,555.27,141.49,41.98,114.89,36.97,27.4,28.53,3.98,0.87,5.59,167.84,67.41,102.63,406369,137.71,155.01,78.9,62.71,22.23,19.94,1.27,4.89,10.21,26.25,78.91,20.03,141.49,41.98,114.89,36.97,27.4,28.53,3.98,0.87,5.59,167.84,67.41,102.63,406369,137.71,155.01,78.9,62.71,22.23,19.94,1.27,4.89,10.21,26.25,78.91,20.03,141.49,41.98,114.89,36.97,27.4,28.53,3.98,0.87,5.59,167.84,67.41,102.63,406369,137.71,155.01,78.9,62.71,22.23,19.94,1.27,4.89,10.21,26.25,78.91,20.03,1.36,5.42,5.28,10.53,12.48,17.41,20.6,22.48,16.63,9.43,6.4,-0.63,406369,-0.59,2.93,5.65,6.11,13.01,17.25,23.07,23.53,17.54,10.57,4.69,2.24,1.36,5.42,5.28,10.53,12.48,17.41,20.6,22.48,16.63,9.43,6.4,-0.63,406369,-0.59,2.93,5.65,6.11,13.01,17.25,23.07,23.53,17.54,10.57,4.69,2.24,1.36,5.42,5.28,10.53,12.48,17.41,20.6,22.48,16.63,9.43,6.4,-0.63,406369,-0.59,2.93,5.65,6.11,13.01,17.25,23.07,23.53,17.54,10.57,4.69,2.24,501,501,501
3917172,14.11,14.11,14.11,1.93,1.93,1.93,646.65,646.65,646.65,7.25,7.25,7.25,11.47,11.47,11.47,106.2,106.2,106.2,2,2,2,10.58,10.58,10.58,2.36,2.36,2.36,37.53,37.53,37.53,211.07,211.07,211.07,166.34,166.34,166.34,260.62,260.62,260.62,85.65,85.65,85.65,9.86,8.86,10.56,7.74,6.4,5,2,3,3.17,6.29,11.03,11.74,9.86,8.86,10.56,7.74,6.4,5,2,3,3.17,6.29,11.03,11.74,9.86,8.86,10.56,7.74,6.4,5,2,3,3.17,6.29,11.03,11.74,65.01,65.01,65.01,506.07,506.07,506.07,148.04,49.43,130.11,47.79,32.74,28.54,4.1,0.9,6.47,200.96,90.24,138.3,406373,145.48,182.79,93.61,83.26,31.54,24.71,1.67,4.85,12.33,37.7,98.66,28.99,148.04,49.43,130.11,47.79,32.74,28.54,4.1,0.9,6.47,200.96,90.24,138.3,406373,145.48,182.79,93.61,83.26,31.54,24.71,1.67,4.85,12.33,37.7,98.66,28.99,148.04,49.43,130.11,47.79,32.74,28.54,4.1,0.9,6.47,200.96,90.24,138.3,406373,145.48,182.79,93.61,83.26,31.54,24.71,1.67,4.85,12.33,37.7,98.66,28.99,0.45,4.54,4.04,9.39,11.26,16.19,19.54,21.56,15.71,8.43,5.46,-1.28,406373,-1.2,1.92,4.52,4.9,11.86,16.05,22.09,22.56,16.61,9.77,3.73,2.11,0.45,4.54,4.04,9.39,11.26,16.19,19.54,21.56,15.71,8.43,5.46,-1.28,406373,-1.2,1.92,4.52,4.9,11.86,16.05,22.09,22.56,16.61,9.77,3.73,2.1,0.45,4.54,4.04,9.39,11.26,16.19,19.54,21.56,15.71,8.43,5.46,-1.28,406373,-1.2,1.92,4.52,4.9,11.86,16.05,22.09,22.56,16.61,9.77,3.73,2.11,466,466,466
3917176,15.32,13.38,13.38,2.31,1.26,1.26,604.4,623.13,623.13,7.79,6.28,6.28,11.01,11.06,11.06,102.79,104.33,104.33,2,2,2,9.89,11.08,11.08,2.36,2.36,2.36,37.68,38.07,38.07,260.18,395.86,395.86,163.53,175.42,175.42,261.54,255.52,255.52,80.92,81.05,81.05,9.53,8.36,9.56,6.82,6.12,5,2,3,3.22,5.92,10.5,11.01,9.62,8.21,9.83,7,6,5,2,3,3,6,10.21,11.04,9.53,8.36,9.56,6.82,6.12,5,2,3,3.22,5.92,10.5,11.01,65,64.34,64.34,537.04,483.11,483.11,145.13,51.34,135.09,49.77,32.9,30.15,3.81,1.1,4.8,216.25,93.33,145.41,406375,140,185.99,96.76,99.86,31.58,31.74,2.06,4.7,14.39,38.67,99.86,28.97,138.42,39.68,115.81,37.12,28.46,32.02,3.82,1.01,4.88,171.1,66.94,102.92,406375,131.45,148.84,77.53,73.85,20.46,21.03,1.4,4.87,10.25,23.94,79.26,18.37,145.13,51.34,135.09,49.77,32.9,30.15,3.81,1.1,4.8,216.25,93.33,145.41,406375,140,185.99,96.76,99.86,31.58,31.74,2.06,4.7,14.39,38.67,99.86,28.97,-0.15,3.97,3.17,8.45,10.22,15.17,18.66,20.76,14.96,7.65,4.74,-1.77,406375,-1.68,1.26,3.8,3.88,10.95,15.07,21.26,21.68,15.75,9.09,3.09,1.91,1.05,5.03,4.83,9.98,11.94,16.86,19.98,21.73,16,8.88,5.93,-0.81,406375,-0.99,2.57,5.23,5.6,12.49,16.69,22.39,22.76,16.84,10.05,4.37,2.24,-0.15,3.97,3.17,8.45,10.22,15.17,18.66,20.76,14.96,7.65,4.74,-1.77,406375,-1.68,1.26,3.8,3.88,10.95,15.07,21.26,21.68,15.75,9.09,3.09,1.91,492,483,483
3917178,14.42,13.24,13.24,1.7,1.17,1.17,607.38,622.19,622.19,7.24,6.14,6.14,11.21,11.03,11.03,107.02,104.26,104.26,2,2,2,10.48,11.17,11.17,2.36,2.36,2.36,37.9,38.13,38.13,325.96,415.45,415.45,167.55,176.61,176.61,259.87,254.88,254.88,81.69,80.71,80.71,9.51,8.33,9.48,6.75,6.1,5,2,3,3.23,5.89,10.47,10.96,9.73,8.32,10,7,6,5,2,3,3,6,10.32,11.32,9.51,8.33,9.48,6.75,6.1,5,2,3,3.23,5.89,10.47,10.96,65,64.26,64.26,516.54,479.07,479.07,145.2,51.99,136.29,50.47,33.1,30.19,3.78,1.11,4.67,219.34,94.7,147.78,406376,139.97,187.84,97.83,102.22,32.07,32.72,2.12,4.68,14.72,39.38,100.84,29.43,135.69,39.88,115.33,37.93,29.31,32.69,3.73,1.03,4.85,177.77,68.77,106.43,406376,127.37,149.12,77.32,77.39,21.43,22.44,1.71,4.89,10.43,24.52,81.04,18.82,145.2,51.99,136.29,50.47,33.1,30.19,3.78,1.11,4.67,219.34,94.7,147.78,406376,139.97,187.84,97.83,102.22,32.07,32.72,2.12,4.68,14.72,39.38,100.84,29.43,-0.25,3.88,3.03,8.31,10.07,15.02,18.53,20.66,14.86,7.54,4.64,-1.85,406376,-1.74,1.16,3.68,3.73,10.82,14.93,21.15,21.57,15.64,9,2.98,1.88,0.66,4.79,4.38,9.61,11.51,16.43,19.62,21.55,15.82,8.52,5.61,-1.09,406376,-1.16,2.21,4.88,5.16,12.14,16.3,22.1,22.54,16.65,9.86,3.99,2.24,-0.25,3.88,3.03,8.31,10.07,15.02,18.53,20.66,14.86,7.54,4.64,-1.85,406376,-1.74,1.16,3.68,3.73,10.82,14.93,21.15,21.57,15.64,9,2.98,1.88,506,484,484
3917194,12.98,12.98,12.98,1.65,1.65,1.65,581.67,581.67,581.67,6.31,6.31,6.31,10.28,10.28,10.28,96.5,96.5,96.5,2,2,2,10.75,10.75,10.75,2.34,2.34,2.34,37.96,37.96,37.96,412.61,412.61,412.61,177.02,177.02,177.02,254.1,254.1,254.1,78.33,78.33,78.33,9.03,7.91,9.05,6.82,6.21,5,2,3,3.13,5.82,10.03,10.33,9.03,7.91,9.05,6.82,6.21,5,2,3,3.13,5.82,10.03,10.33,9.03,7.91,9.05,6.82,6.21,5,2,3,3.13,5.82,10.03,10.33,64.09,64.09,64.09,482.64,482.64,482.64,136.33,46.41,131.21,46.19,35.19,36.56,4.02,1.42,4.07,205.97,84.37,135.72,406383,126.19,167.75,90.6,110.09,27.42,32.5,1.93,4.94,13.7,31.37,92.47,23.13,136.33,46.41,131.21,46.19,35.19,36.56,4.02,1.42,4.07,205.97,84.37,135.72,406383,126.19,167.75,90.6,110.09,27.42,32.5,1.93,4.94,13.7,31.37,92.47,23.13,136.33,46.41,131.21,46.19,35.19,36.56,4.02,1.42,4.07,205.97,84.37,135.72,406383,126.19,167.75,90.6,110.09,27.42,32.5,1.93,4.94,13.7,31.37,92.47,23.13,-0.56,3.55,2.54,7.83,9.6,14.55,18.19,20.31,14.51,7.14,4.32,-2.19,406383,-1.94,0.75,3.24,3.19,10.37,14.43,20.84,21.21,15.29,8.66,2.59,1.69,-0.56,3.55,2.54,7.83,9.6,14.55,18.19,20.31,14.51,7.14,4.32,-2.19,406383,-1.94,0.75,3.24,3.19,10.37,14.43,20.84,21.21,15.29,8.66,2.59,1.69,-0.56,3.55,2.54,7.83,9.6,14.55,18.19,20.31,14.51,7.14,4.32,-2.19,406383,-1.94,0.75,3.24,3.19,10.37,14.43,20.84,21.21,15.29,8.66,2.59,1.69,467,467,467
3917198,18.55,14.14,14.14,2.85,1.6,1.6,536.77,620.47,620.47,9.88,6.8,6.8,10,10.96,10.96,82.55,101.25,101.25,2,2,2,6,10.45,10.45,2.35,2.35,2.35,28,36.97,36.97,7.69,324.4,324.4,149.55,171.44,171.44,267.45,257.42,257.42,76.39,80.78,80.78,9.45,8.36,9.55,6.89,6.1,4.97,2,3,3.17,5.94,10.42,10.94,8.9,7.9,8.9,6.9,5.9,4.87,2,3,3,6,9.03,10,9.45,8.36,9.55,6.89,6.1,4.97,2,3,3.17,5.94,10.42,10.94,65,64.48,64.48,618.99,502.97,502.97,144.46,48.83,130.24,46.52,31.47,29.93,3.84,1.05,4.88,204.52,87.23,135.55,406384,139.63,177.91,92.23,91.04,29.01,28.98,1.85,4.72,13.5,35.48,94.6,26.75,138.79,36.24,105.46,30.37,24.09,28.81,4,0.86,4.62,151.6,59.77,94.65,406384,134.54,137.31,68.67,46.62,16.59,17.33,0.99,4.87,9.82,20.57,69.25,17.38,144.46,48.83,130.24,46.52,31.47,29.93,3.84,1.05,4.88,204.52,87.23,135.55,406384,139.63,177.91,92.23,91.04,29.01,28.98,1.85,4.72,13.5,35.48,94.6,26.75,0.29,4.32,3.75,8.97,10.81,15.75,19.14,21.12,15.32,8.09,5.16,-1.45,406384,-1.45,1.72,4.29,4.47,11.47,15.63,21.68,22.07,16.14,9.41,3.54,1.95,2.59,5.88,6.7,11.42,13.7,18.63,21.54,22.67,16.91,10.22,7.18,0.11,406384,-0.55,4,6.66,7.36,13.9,18.38,23.61,23.74,17.87,10.74,5.84,1.88,0.29,4.32,3.75,8.97,10.81,15.75,19.14,21.12,15.32,8.09,5.16,-1.45,406384,-1.45,1.72,4.29,4.47,11.47,15.63,21.68,22.07,16.14,9.41,3.54,1.95,455,488,488
3917200,18.63,14.4,14.4,2.74,1.69,0,528.6,616.56,616.56,10,7,0,10,10.9,10.9,82.01,100.03,100.03,2,2,2,6,10.15,10.15,2.35,2.35,2.35,28,36.43,36.43,14.93,303.84,303.84,149.01,169.98,169.98,267.99,258.11,258.11,71.79,80.45,80.45,9.42,8.31,9.49,6.87,6.09,4.97,2,3,3.16,5.94,10.33,10.88,8.13,7.13,8.13,6.13,5.13,4.13,2,3,3,6,9,10,9.42,8.31,9.49,6.87,6.09,4.97,2,3,3.16,5.94,10.33,10.88,65,64.5,64.5,620,510.42,510.42,143.2,47.82,127.98,45.3,30.77,29.79,3.84,1.05,4.78,200.27,85.09,132.42,406385,138.25,174.61,90.19,87.6,28,28.21,1.81,4.7,13.22,34.32,92.6,26.05,140.17,36.73,106.92,30.79,24.48,28.83,3.96,0.86,4.71,152.75,60.35,95.59,406385,135.68,138.67,69.85,47.7,16.81,17.34,0.95,4.91,9.93,20.87,69.83,17.54,143.2,47.82,127.98,45.3,30.77,29.79,3.84,1.05,4.78,200.27,85.09,132.42,406385,138.25,174.61,90.19,87.6,28,28.21,1.81,4.7,13.22,34.32,92.6,26.05,0.45,4.42,3.95,9.13,11.01,15.95,19.31,21.23,15.43,8.24,5.3,-1.34,406385,-1.39,1.88,4.45,4.67,11.62,15.82,21.81,22.18,16.26,9.5,3.69,1.93,2.58,5.88,6.69,11.42,13.68,18.61,21.52,22.67,16.89,10.2,7.17,0.09,406385,-0.56,3.99,6.65,7.35,13.91,18.36,23.58,23.74,17.83,10.72,5.83,1.87,0.45,4.42,3.95,9.13,11.01,15.95,19.31,21.23,15.43,8.24,5.3,-1.34,406385,-1.39,1.88,4.45,4.67,11.62,15.82,21.81,22.18,16.26,9.5,3.69,1.93,450,488,488
3917212,16.1,16.1,16.1,2.67,2.67,2.67,580.76,580.76,580.76,8.31,8.31,8.31,10.72,10.72,10.72,99.74,99.74,99.74,2,2,2,9.28,9.28,9.28,2.36,2.36,2.36,39.08,39.08,39.08,139.22,139.22,139.22,159.93,159.93,159.93,263.07,263.07,263.07,79.22,79.22,79.22,9.37,7.92,9.73,6.86,6,4.86,2,3,3,6,9.92,10.56,9.37,7.92,9.73,6.86,6,4.86,2,3,3,6,9.92,10.56,9.37,7.92,9.73,6.86,6,4.86,2,3,3,6,9.92,10.56,65,65,65,558.56,558.56,558.56,134.33,39.14,112.47,36.09,28.95,32.44,3.79,1.17,4.55,164.42,65.54,103.29,406388,124.92,146.2,75.01,68.83,19.4,20.67,1.13,4.89,10.46,23.07,76.69,18.26,134.33,39.14,112.47,36.09,28.95,32.44,3.79,1.17,4.55,164.42,65.54,103.29,406388,124.92,146.2,75.01,68.83,19.4,20.67,1.13,4.89,10.46,23.07,76.69,18.26,134.33,39.14,112.47,36.09,28.95,32.44,3.79,1.17,4.55,164.42,65.54,103.29,406388,124.92,146.2,75.01,68.83,19.4,20.67,1.13,4.89,10.46,23.07,76.69,18.26,1.34,5.17,5.06,10.11,12.14,17.09,20.18,21.82,16.08,9.01,6.11,-0.66,406388,-0.83,2.78,5.4,5.77,12.61,16.91,22.5,22.85,16.95,10.13,4.56,2.07,1.34,5.17,5.06,10.11,12.14,17.09,20.18,21.82,16.08,9.01,6.11,-0.66,406388,-0.83,2.78,5.4,5.77,12.61,16.91,22.5,22.85,16.95,10.13,4.56,2.07,1.34,5.17,5.06,10.11,12.14,17.09,20.18,21.82,16.08,9.01,6.11,-0.66,406388,-0.83,2.78,5.4,5.77,12.61,16.91,22.5,22.85,16.95,10.13,4.56,2.07,511,511,511
3917214,17.85,17.85,17.85,2.67,2.67,2.67,591.63,591.63,591.63,9.21,9.21,9.21,10.19,10.19,10.19,90.25,90.25,90.25,2,2,2,7.55,7.55,7.55,2.36,2.36,2.36,34.15,34.15,34.15,44.56,44.56,44.56,153.65,153.65,153.65,265.95,265.95,265.95,75.24,75.24,75.24,8.92,7.39,8.7,6.39,6,4.31,2,3,3,6,9.31,10.23,8.92,7.39,8.7,6.39,6,4.31,2,3,3,6,9.31,10.23,8.92,7.39,8.7,6.39,6,4.31,2,3,3,6,9.31,10.23,65,65,65,594.05,594.05,594.05,133.1,37.22,107.1,32.08,24.48,28.82,3.44,1.24,4.01,149.65,57.65,94.11,406389,122.12,138.18,70.61,50.83,15.39,17.65,0.98,4.75,10.11,20.4,68.31,16.92,133.1,37.22,107.1,32.08,24.48,28.82,3.44,1.24,4.01,149.65,57.65,94.11,406389,122.12,138.18,70.61,50.83,15.39,17.65,0.98,4.75,10.11,20.4,68.31,16.92,133.1,37.22,107.1,32.08,24.48,28.82,3.44,1.24,4.01,149.65,57.65,94.11,406389,122.12,138.18,70.61,50.83,15.39,17.65,0.98,4.75,10.11,20.4,68.31,16.92,2.42,5.87,6.44,11.23,13.42,18.38,21.34,22.64,16.86,10.03,7.05,-0.03,406389,-0.51,3.86,6.53,7.06,13.73,18.14,23.4,23.71,17.76,10.65,5.62,1.77,2.42,5.87,6.44,11.23,13.42,18.38,21.34,22.64,16.86,10.03,7.05,-0.03,406389,-0.51,3.86,6.53,7.06,13.73,18.14,23.4,23.71,17.76,10.65,5.62,1.77,2.42,5.87,6.44,11.23,13.42,18.38,21.34,22.64,16.86,10.03,7.05,-0.03,406389,-0.51,3.86,6.53,7.06,13.73,18.14,23.4,23.71,17.76,10.65,5.62,1.77,505,505,505
3917218,18.29,16.48,16.48,2.67,2.67,2.67,558.91,579.65,579.65,9.86,8.55,8.55,10,10.6,10.6,83.22,97.21,97.21,2,2,2,6.05,8.8,8.8,2.36,2.36,2.36,28,37.52,37.52,38.42,120.29,120.29,149.62,158.32,158.32,267.45,263.78,263.78,72.62,78.19,78.19,9.27,7.78,9.46,6.73,5.98,4.72,2,3,3,6,9.77,10.47,8.81,7,8,6,5.81,4,2,3,3,6,9,10,9.27,7.78,9.46,6.73,5.98,4.72,2,3,3,6,9.77,10.47,65,65,65,612.12,567.21,567.21,134.39,38.78,111.52,35.25,28.03,31.66,3.72,1.18,4.44,161.42,64.12,101.6,406391,124.8,144.7,74.2,64.95,18.58,20.03,1.1,4.86,10.4,22.51,75.07,18.03,136.19,37.3,107.97,31.42,23.9,28.08,3.4,1.25,3.92,148.28,58.77,95.01,406391,126.41,138.72,71.01,46.79,14.97,17.16,0.96,4.72,10.15,19.96,68.28,17.19,134.39,38.78,111.52,35.25,28.03,31.66,3.72,1.18,4.44,161.42,64.12,101.6,406391,124.8,144.7,74.2,64.95,18.58,20.03,1.1,4.86,10.4,22.51,75.07,18.03,1.57,5.31,5.36,10.35,12.42,17.37,20.43,21.99,16.23,9.23,6.31,-0.53,406391,-0.79,3.01,5.64,6.05,12.85,17.17,22.69,23.02,17.11,10.22,4.79,1.99,2.7,5.87,6.78,11.45,13.72,18.67,21.58,22.7,16.86,10.22,7.21,0.04,406391,-0.67,4.08,6.72,7.38,13.95,18.4,23.51,23.78,17.8,10.58,5.84,1.55,1.57,5.31,5.36,10.35,12.42,17.37,20.43,21.99,16.23,9.23,6.31,-0.53,406391,-0.79,3.01,5.64,6.05,12.85,17.17,22.69,23.02,17.11,10.22,4.79,1.99,526,512,512
