COMID,CAT_TMAX7100,ACC_TMAX7100,TOT_TMAX7100,CAT_TMIN7100,ACC_TMIN7100,TOT_TMIN7100,CAT_PPT7100_ANN,ACC_PPT7100_ANN,TOT_PPT7100_ANN,CAT_TAV7100_ANN,ACC_TAV7100_ANN,TOT_TAV7100_ANN,CAT_MAXWD6190,ACC_MAXWD6190,TOT_MAXWD6190,CAT_MAXP6190,ACC_MAXP6190,TOT_MAXP6190,CAT_MINWD6190,ACC_MINWD6190,TOT_MINWD6190,CAT_MINP6190,ACC_MINP6190,TOT_MINP6190,CAT_CWD,ACC_CWD,TOT_CWD,CAT_PRSNOW,ACC_PRSNOW,TOT_PRSNOW,CAT_AET,ACC_AET,TOT_AET,CAT_LSTFZ6190,ACC_LSTFZ6190,TOT_LSTFZ6190,CAT_FSTFZ6190,ACC_FSTFZ6190,TOT_FSTFZ6190,CAT_WDANN,ACC_WDANN,TOT_WDANN,ACC_WDJAN,ACC_WDFEB,ACC_WDMAR,ACC_WDAPR,ACC_WDMAY,ACC_WDJUN,ACC_WDJUL,ACC_WDAUG,ACC_WDSEP,ACC_WDOCT,ACC_WDNOV,ACC_WDDEC,CAT_WDJAN,CAT_WDFEB,CAT_WDMAR,CAT_WDAPR,CAT_WDMAY,CAT_WDJUN,CAT_WDJUL,CAT_WDAUG,CAT_WDSEP,CAT_WDOCT,CAT_WDNOV,CAT_WDDEC,TOT_WDJAN,TOT_WDFEB,TOT_WDMAR,TOT_WDAPR,TOT_WDMAY,TOT_WDJUN,TOT_WDJUL,TOT_WDAUG,TOT_WDSEP,TOT_WDOCT,TOT_WDNOV,TOT_WDDEC,CAT_RH,ACC_RH,TOT_RH,CAT_PET,ACC_PET,TOT_PET,ACC_PPT_JAN_2016,ACC_PPT_FEB_2016,ACC_PPT_MAR_2016,ACC_PPT_APR_2016,ACC_PPT_MAY_2016,ACC_PPT_JUN_2016,ACC_PPT_JUL_2016,ACC_PPT_AUG_2016,ACC_PPT_SEP_2016,ACC_PPT_OCT_2016,ACC_PPT_NOV_2016,ACC_PPT_DEC_2016,...1.y,ACC_PPT_JAN_2017,ACC_PPT_FEB_2017,ACC_PPT_MAR_2017,ACC_PPT_APR_2017,ACC_PPT_MAY_2017,ACC_PPT_JUN_2017,ACC_PPT_JUL_2017,ACC_PPT_AUG_2017,ACC_PPT_SEP_2017,ACC_PPT_OCT_2017,ACC_PPT_NOV_2017,ACC_PPT_DEC_2017,CAT_PPT_JAN_2016,CAT_PPT_FEB_2016,CAT_PPT_MAR_2016,CAT_PPT_APR_2016,CAT_PPT_MAY_2016,CAT_PPT_JUN_2016,CAT_PPT_JUL_2016,CAT_PPT_AUG_2016,CAT_PPT_SEP_2016,CAT_PPT_OCT_2016,CAT_PPT_NOV_2016,CAT_PPT_DEC_2016,...1.y.y,CAT_PPT_JAN_2017,CAT_PPT_FEB_2017,CAT_PPT_MAR_2017,CAT_PPT_APR_2017,CAT_PPT_MAY_2017,CAT_PPT_JUN_2017,CAT_PPT_JUL_2017,CAT_PPT_AUG_2017,CAT_PPT_SEP_2017,CAT_PPT_OCT_2017,CAT_PPT_NOV_2017,CAT_PPT_DEC_2017,TOT_PPT_JAN_2016,TOT_PPT_FEB_2016,TOT_PPT_MAR_2016,TOT_PPT_APR_2016,TOT_PPT_MAY_2016,TOT_PPT_JUN_2016,TOT_PPT_JUL_2016,TOT_PPT_AUG_2016,TOT_PPT_SEP_2016,TOT_PPT_OCT_2016,TOT_PPT_NOV_2016,TOT_PPT_DEC_2016,...1.y.y.y,TOT_PPT_JAN_2017,TOT_PPT_FEB_2017,TOT_PPT_MAR_2017,TOT_PPT_APR_2017,TOT_PPT_MAY_2017,TOT_PPT_JUN_2017,TOT_PPT_JUL_2017,TOT_PPT_AUG_2017,TOT_PPT_SEP_2017,TOT_PPT_OCT_2017,TOT_PPT_NOV_2017,TOT_PPT_DEC_2017,ACC_TAV_JAN_2016,ACC_TAV_FEB_2016,ACC_TAV_MAR_2016,ACC_TAV_APR_2016,ACC_TAV_MAY_2016,ACC_TAV_JUN_2016,ACC_TAV_JUL_2016,ACC_TAV_AUG_2016,ACC_TAV_SEP_2016,ACC_TAV_OCT_2016,ACC_TAV_NOV_2016,ACC_TAV_DEC_2016,ID.y,ACC_TAV_JAN_2017,ACC_TAV_FEB_2017,ACC_TAV_MAR_2017,ACC_TAV_APR_2017,ACC_TAV_MAY_2017,ACC_TAV_JUN_2017,ACC_TAV_JUL_2017,ACC_TAV_AUG_2017,ACC_TAV_SEP_2017,ACC_TAV_OCT_2017,ACC_TAV_NOV_2017,ACC_TAV_DEC_2017,CAT_TAV_JAN_2016,CAT_TAV_FEB_2016,CAT_TAV_MAR_2016,CAT_TAV_APR_2016,CAT_TAV_MAY_2016,CAT_TAV_JUN_2016,CAT_TAV_JUL_2016,CAT_TAV_AUG_2016,CAT_TAV_SEP_2016,CAT_TAV_OCT_2016,CAT_TAV_NOV_2016,CAT_TAV_DEC_2016,ID.y.y,CAT_TAV_JAN_2017,CAT_TAV_FEB_2017,CAT_TAV_MAR_2017,CAT_TAV_APR_2017,CAT_TAV_MAY_2017,CAT_TAV_JUN_2017,CAT_TAV_JUL_2017,CAT_TAV_AUG_2017,CAT_TAV_SEP_2017,CAT_TAV_OCT_2017,CAT_TAV_NOV_2017,CAT_TAV_DEC_2017,TOT_TAV_JAN_2016,TOT_TAV_FEB_2016,TOT_TAV_MAR_2016,TOT_TAV_APR_2016,TOT_TAV_MAY_2016,TOT_TAV_JUN_2016,TOT_TAV_JUL_2016,TOT_TAV_AUG_2016,TOT_TAV_SEP_2016,TOT_TAV_OCT_2016,TOT_TAV_NOV_2016,TOT_TAV_DEC_2016,ID.y.y.y,TOT_TAV_JAN_2017,TOT_TAV_FEB_2017,TOT_TAV_MAR_2017,TOT_TAV_APR_2017,TOT_TAV_MAY_2017,TOT_TAV_JUN_2017,TOT_TAV_JUL_2017,TOT_TAV_AUG_2017,TOT_TAV_SEP_2017,TOT_TAV_OCT_2017,TOT_TAV_NOV_2017,TOT_TAV_DEC_2017,CAT_ET,ACC_ET,TOT_ET
3917220,18.63,16.61,16.61,2.72,2.67,2.67,526.53,577.98,577.98,10,8.64,8.64,10,10.56,10.56,82,96.21,96.21,2,2,2,6,8.61,8.61,2.35,2.35,2.35,28,36.86,36.86,28.03,113.77,113.77,149,157.69,157.69,268,264.05,264.05,71,77.78,77.78,9.23,7.73,9.36,6.68,5.95,4.67,2,3,3,6,9.72,10.44,8,7,8,6,5,4,2,3,3,6,9,10,9.23,7.73,9.36,6.68,5.95,4.67,2,3,3,6,9.72,10.44,65,65,65,620,570.61,570.61,134.48,38.68,111.28,34.99,27.74,31.41,3.69,1.19,4.39,160.48,63.74,101.14,406392,124.83,144.29,73.98,63.69,18.32,19.83,1.09,4.85,10.38,22.33,74.59,17.97,135.65,37.36,108.06,31.49,23.82,27.98,3.33,1.29,3.81,147.69,58.55,94.92,406392,125.21,138.69,71.13,46.65,14.73,17.14,0.96,4.7,10.18,19.84,68.07,17.14,134.48,38.68,111.28,34.99,27.74,31.41,3.69,1.19,4.39,160.48,63.74,101.14,406392,124.83,144.29,73.98,63.69,18.32,19.83,1.09,4.85,10.38,22.33,74.59,17.97,1.65,5.34,5.46,10.43,12.51,17.46,20.51,22.03,16.27,9.29,6.37,-0.49,406392,-0.78,3.09,5.72,6.14,12.93,17.26,22.74,23.08,17.16,10.25,4.86,1.96,2.72,5.87,6.79,11.45,13.73,18.68,21.59,22.7,16.86,10.22,7.22,0.04,406392,-0.68,4.09,6.73,7.38,13.96,18.4,23.5,23.79,17.8,10.56,5.84,1.51,1.65,5.34,5.46,10.43,12.51,17.46,20.51,22.03,16.27,9.29,6.37,-0.49,406392,-0.78,3.09,5.72,6.14,12.93,17.26,22.74,23.08,17.16,10.25,4.86,1.96,498,511,511
3917228,18.39,18.39,18.39,2.61,2.61,2.61,555.61,555.61,555.61,9.95,9.95,9.95,10,10,10,82.7,82.7,82.7,2,2,2,6.04,6.04,6.04,2.36,2.36,2.36,28,28,28,25.55,25.55,25.55,149.22,149.22,149.22,267.83,267.83,267.83,72.19,72.19,72.19,8.6,7,8,6,5.6,4,2,3,3,6,9,10,8.6,7,8,6,5.6,4,2,3,3,6,9,10,8.6,7,8,6,5.6,4,2,3,3,6,9,10,65,65,65,616.6,616.6,616.6,135.65,37.36,108.06,31.49,23.82,27.98,3.33,1.29,3.81,147.69,58.55,94.92,406395,125.21,138.69,71.13,46.65,14.73,17.14,0.97,4.7,10.18,19.84,68.07,17.14,135.65,37.36,108.06,31.49,23.82,27.98,3.33,1.29,3.81,147.69,58.55,94.92,406395,125.21,138.69,71.13,46.65,14.73,17.14,0.96,4.7,10.18,19.84,68.07,17.14,135.65,37.36,108.06,31.49,23.82,27.98,3.33,1.29,3.81,147.69,58.55,94.92,406395,125.21,138.69,71.13,46.65,14.73,17.14,0.97,4.7,10.18,19.84,68.07,17.14,2.72,5.87,6.79,11.45,13.73,18.68,21.59,22.7,16.86,10.22,7.22,0.04,406395,-0.68,4.09,6.73,7.38,13.96,18.4,23.5,23.79,17.8,10.56,5.84,1.51,2.72,5.87,6.79,11.45,13.73,18.68,21.59,22.7,16.86,10.22,7.22,0.04,406395,-0.68,4.09,6.73,7.38,13.96,18.4,23.5,23.79,17.8,10.56,5.84,1.51,2.72,5.87,6.79,11.45,13.73,18.68,21.59,22.7,16.86,10.22,7.22,0.04,406395,-0.68,4.09,6.73,7.38,13.96,18.4,23.5,23.79,17.8,10.56,5.84,1.51,498,498,498
3917230,19.17,19.17,19.17,2.91,2.91,2.91,431.09,431.09,431.09,10.94,10.94,10.94,9,9,9,71.24,71.24,71.24,2,2,2,4,4,4,2.36,2.36,2.36,23.66,23.66,23.66,117.45,117.45,117.45,140.06,140.06,140.06,275.21,275.21,275.21,65.03,65.03,65.03,8,6,7,6,5,4,2,2,3,5.03,8,9,8,6,7,6,5,4,2,2,3,5.03,8,9,8,6,7,6,5,4,2,2,3,5.03,8,9,64.76,64.76,64.76,663.9,663.9,663.9,97.42,27.22,80.2,24.12,14,25.28,3.57,1.01,1.37,112.08,35.01,60.46,406396,83.2,99.58,43.45,27.16,8.09,14.49,1.05,5.31,6.91,12.64,47.76,11.42,97.42,27.22,80.2,24.12,14,25.28,3.56,1.01,1.37,112.08,35.01,60.46,406396,83.2,99.58,43.45,27.16,8.09,14.49,1.05,5.31,6.91,12.64,47.76,11.42,97.42,27.22,80.2,24.12,14,25.28,3.57,1.01,1.37,112.08,35.01,60.46,406396,83.2,99.58,43.45,27.16,8.09,14.49,1.05,5.31,6.91,12.64,47.76,11.42,2.96,5.9,7.28,11.65,14.16,19.13,22.3,23.24,17.13,10.54,7.42,0.22,406396,-0.81,4.51,7.13,7.72,14.32,18.95,24.12,24.22,18.23,10.65,6.05,0.83,2.96,5.9,7.28,11.65,14.16,19.13,22.3,23.24,17.13,10.54,7.42,0.22,406396,-0.81,4.51,7.13,7.72,14.32,18.95,24.12,24.22,18.23,10.65,6.05,0.83,2.96,5.9,7.28,11.65,14.16,19.13,22.3,23.24,17.13,10.54,7.42,0.22,406396,-0.81,4.51,7.13,7.72,14.32,18.95,24.12,24.22,18.23,10.65,6.05,0.83,463,463,463
3917244,19.16,15.63,15.52,2.88,2.17,0,431.55,676.84,757.86,10.71,8.23,0,9.13,10.48,10.55,73.01,107.75,114.28,2,2,2,4,9.33,9.67,2.37,2.37,2.37,23.71,39.94,40.21,200.91,188.89,231.13,142.18,159.85,158.73,273.7,262.56,263.06,65.57,77.48,78.04,9.14,8.1,9.33,6.98,5.87,4.43,2,2.73,2.93,5.66,9.91,10.42,8,6,7,6,5,4,2,2,3,5.45,8,9.13,9.24,8.39,9.48,7.09,5.92,4.33,2,2.62,2.81,5.58,10.09,10.48,64.72,64.63,64.72,658.72,553.86,557.45,171.3,46.67,153.22,41.16,32.57,33.33,2.7,1.02,2.94,189.93,82.85,117.14,406398,173.62,173.53,94.97,105.26,17.73,24.37,1.54,5.44,9.01,20.83,93.71,16.42,98.09,28.01,83.68,25.17,14.22,25.36,3.25,1.29,1.52,112.47,34.7,61.73,406398,83.93,102.29,45.25,28.4,8.29,14.45,1.18,5.11,7.51,12.9,46.99,11.81,202.9,51.53,182.99,43.67,36.64,35.31,2.11,0.75,2.46,207.02,97.95,125.61,406398,213.04,194.98,110.77,126.84,16.79,25.28,1.54,5.7,8.73,19.43,112.3,14.7,1.09,4.84,4.72,9.65,11.71,16.67,19.85,21.42,15.71,8.63,5.81,-0.89,406398,-1.11,2.49,5.05,5.33,12.28,16.46,22.09,22.4,16.52,9.72,4.31,1.77,2.91,5.99,7.29,11.68,14.16,19.14,22.32,23.28,17.16,10.51,7.41,0.22,406398,-0.83,4.52,7.15,7.74,14.33,18.96,24.11,24.24,18.22,10.68,6.02,0.85,1.05,4.8,4.64,9.55,11.61,16.58,19.69,21.26,15.62,8.53,5.74,-0.86,406398,-1.09,2.43,4.98,5.24,12.25,16.34,21.9,22.23,16.37,9.68,4.27,1.83,451,494,510
3917250,15.3,15.3,15.3,2.64,2.64,2.64,572.74,572.74,572.74,8.02,8.02,8.02,10.98,10.98,10.98,107.19,107.19,107.19,2,2,2,10.48,10.48,10.48,2.36,2.36,2.36,42.68,42.68,42.68,112.17,112.17,112.17,161.73,161.73,161.73,262.53,262.53,262.53,80.63,80.63,80.63,9.34,8.24,9.86,7,6.05,4.86,2,3,3.05,6.16,9.98,11.1,9.34,8.24,9.86,7,6.05,4.86,2,3,3.05,6.16,9.98,11.1,9.34,8.24,9.86,7,6.05,4.86,2,3,3.05,6.16,9.98,11.1,65,65,65,543.5,543.5,543.5,131.63,39.73,113.15,37.42,30.71,33.81,3.74,1.28,4.45,168.07,67.79,107.12,406399,120.5,147.86,75.74,73.78,20.28,21.89,1.18,4.91,10.72,23.58,78.76,18.69,131.63,39.73,113.15,37.42,30.71,33.81,3.74,1.28,4.45,168.07,67.79,107.12,406399,120.5,147.86,75.74,73.78,20.28,21.89,1.18,4.91,10.72,23.58,78.76,18.69,131.63,39.73,113.15,37.42,30.71,33.81,3.74,1.28,4.45,168.07,67.79,107.12,406399,120.5,147.86,75.74,73.78,20.28,21.89,1.18,4.91,10.72,23.58,78.76,18.69,0.97,4.89,4.54,9.67,11.65,16.61,19.74,21.51,15.77,8.61,5.76,-0.92,406399,-0.98,2.4,4.98,5.26,12.18,16.45,22.13,22.52,16.64,9.88,4.16,2.04,0.97,4.89,4.54,9.67,11.65,16.61,19.74,21.51,15.77,8.6,5.76,-0.92,406399,-0.98,2.4,4.98,5.26,12.18,16.45,22.13,22.52,16.64,9.88,4.16,2.04,0.97,4.89,4.54,9.67,11.65,16.61,19.74,21.51,15.77,8.61,5.76,-0.92,406399,-0.98,2.4,4.98,5.26,12.18,16.45,22.13,22.52,16.64,9.88,4.16,2.04,465,465,465
3917256,18.37,14.52,14.52,2.58,1.97,1.97,582.91,578.54,578.54,9.61,7.61,7.61,10,11.23,11.23,87.03,112.22,112.22,2,2,2,6.91,10.95,10.95,2.36,2.36,2.36,31.75,41.09,41.09,80.09,161.33,161.33,151.27,164.41,164.41,267.06,261.31,261.31,73.64,82.22,82.22,9.6,8.59,9.83,7.11,6.21,4.82,2,2.99,3.22,6.38,10.16,11.33,8,7.81,8.81,6.81,5.81,4,2,2.81,3,5.81,8.81,10,9.6,8.59,9.83,7.11,6.21,4.82,2,2.99,3.22,6.38,10.16,11.33,65,64.73,64.73,613.38,529.48,529.48,136.68,42.45,121.48,41.14,34.15,36.21,3.92,1.44,4.38,179,78.37,119.57,406402,126.44,158.39,82.2,88.62,22.62,24.6,1.28,4.96,11.33,25.57,87.86,20.43,135.65,37.36,108.06,31.49,23.82,27.98,3.33,1.29,3.81,147.69,58.55,94.92,406402,125.21,138.69,71.13,46.65,14.73,17.14,0.96,4.7,10.18,19.84,68.07,17.14,136.68,42.45,121.48,41.14,34.15,36.21,3.92,1.44,4.38,179,78.37,119.57,406402,126.44,158.39,82.2,88.62,22.62,24.6,1.28,4.96,11.33,25.57,87.86,20.43,0.36,4.25,3.71,8.89,10.83,15.79,18.99,20.83,15.07,7.89,5.11,-1.42,406402,-1.49,1.72,4.22,4.43,11.39,15.62,21.42,21.81,15.94,9.25,3.48,1.84,2.72,5.87,6.79,11.45,13.73,18.68,21.59,22.7,16.86,10.22,7.22,0.04,406402,-0.68,4.09,6.73,7.38,13.96,18.4,23.5,23.79,17.8,10.56,5.84,1.51,0.36,4.25,3.71,8.89,10.83,15.79,18.99,20.83,15.07,7.89,5.11,-1.42,406402,-1.49,1.72,4.22,4.43,11.39,15.62,21.42,21.81,15.94,9.25,3.48,1.84,495,460,460
3917268,18.54,14.69,14.69,2.59,2,2,559.87,577.78,577.78,9.84,7.7,7.7,10,11.18,11.18,83.66,111.05,111.05,2,2,2,6,10.75,10.75,2.35,2.35,2.35,32,40.72,40.72,201.87,162.99,162.99,149,163.78,163.78,267.34,261.56,261.56,69.16,81.68,81.68,9.53,8.53,9.76,7.07,6.17,4.78,2,2.95,3.21,6.33,10.08,11.28,8,7.17,8.17,6.17,5.17,4,2,2.17,3,5.17,8.17,10,9.53,8.53,9.76,7.07,6.17,4.78,2,2.95,3.21,6.33,10.08,11.28,65,64.74,64.74,615.79,533.01,533.01,136.63,42.25,120.93,40.74,33.73,35.87,3.89,1.43,4.36,177.72,77.56,118.56,406406,126.39,157.58,81.75,86.9,22.29,24.29,1.27,4.95,11.28,25.34,87.05,20.29,135.65,37.36,108.06,31.49,23.82,27.98,3.33,1.29,3.81,147.69,58.55,94.92,406406,125.21,138.69,71.13,46.65,14.73,17.14,0.96,4.7,10.18,19.84,68.07,17.14,136.63,42.25,120.93,40.74,33.73,35.87,3.89,1.43,4.36,177.72,77.56,118.56,406406,126.39,157.58,81.75,86.9,22.29,24.29,1.27,4.95,11.28,25.34,87.05,20.29,0.46,4.31,3.84,9,10.95,15.9,19.09,20.9,15.14,7.98,5.19,-1.36,406406,-1.46,1.82,4.32,4.55,11.5,15.73,21.5,21.89,16.02,9.3,3.57,1.83,2.72,5.87,6.79,11.45,13.73,18.68,21.59,22.7,16.86,10.22,7.22,0.04,406406,-0.68,4.09,6.73,7.38,13.96,18.4,23.5,23.79,17.8,10.56,5.84,1.51,0.46,4.31,3.84,9,10.95,15.9,19.09,20.9,15.14,7.98,5.19,-1.36,406406,-1.46,1.82,4.32,4.55,11.5,15.73,21.5,21.89,16.02,9.3,3.57,1.83,500,462,462
3917272,16.72,13.68,13.68,2.87,1.58,1.58,560.16,580.84,580.84,8.54,7.16,7.16,10.64,11.5,11.5,99.91,117.74,117.74,2,2,2,9.13,11.67,11.67,2.36,2.36,2.36,41.32,41.45,41.45,55.86,195.19,195.19,158.14,167.31,167.31,264.24,260.02,260.02,79.82,84.04,84.04,9.92,8.86,9.93,7.19,6.34,4.89,2,3,3.33,6.56,10.41,11.6,8.84,8.57,9.67,7.43,6,4.67,2,3,3,6.14,9.67,10.81,9.92,8.86,9.93,7.19,6.34,4.89,2,3,3.33,6.56,10.41,11.6,65,64.56,64.56,556.91,512.43,512.43,139.26,44.4,127.18,44.12,37.08,38.37,4.08,1.54,4.41,188.15,85.94,128.64,406408,129.48,165.91,86.7,100.97,24.72,26.82,1.37,5.02,11.77,27.24,94.71,21.68,130.89,37.99,108.55,34.32,27.08,31.11,3.61,1.22,4.29,157.33,60.54,98.05,406408,119.49,141.18,72.03,61.57,17.53,19.46,1.06,4.84,10.28,21.88,72.08,17.39,139.26,44.4,127.18,44.12,37.08,38.37,4.08,1.54,4.41,188.15,85.94,128.64,406408,129.48,165.91,86.7,100.97,24.72,26.82,1.37,5.02,11.77,27.24,94.71,21.68,-0.22,3.73,2.93,8.2,10.08,15.03,18.3,20.26,14.51,7.25,4.53,-1.84,406408,-1.83,1.11,3.53,3.66,10.7,14.88,20.82,21.22,15.38,8.78,2.86,1.79,1.72,5.54,5.56,10.54,12.6,17.57,20.62,22.22,16.48,9.41,6.5,-0.38,406408,-0.56,3.2,5.87,6.23,13.05,17.39,22.89,23.25,17.35,10.44,4.97,2.04,-0.22,3.73,2.93,8.2,10.08,15.03,18.3,20.26,14.51,7.25,4.53,-1.84,406408,-1.83,1.11,3.53,3.66,10.7,14.88,20.82,21.22,15.38,8.78,2.86,1.79,479,454,454
3917274,18.14,18.14,18.14,2.69,2.69,2.69,594.55,594.55,594.55,9.64,9.64,9.64,10,10,10,90.44,90.44,90.44,2,2,2,7.17,7.17,7.17,2.36,2.36,2.36,32,32,32,149.74,149.74,149.74,151.93,151.93,151.93,266.41,266.41,266.41,75.59,75.59,75.59,8.59,8,9,7,6,4,2,3,3,6,9,10,8.59,8,9,7,6,4,2,3,3,6,9,10,8.59,8,9,7,6,4,2,3,3,6,9,10,65,65,65,613,613,613,135.65,37.36,108.06,31.49,23.82,27.98,3.33,1.29,3.81,147.69,58.55,94.92,406409,125.21,138.69,71.13,46.65,14.73,17.14,0.97,4.7,10.18,19.84,68.07,17.14,135.65,37.36,108.06,31.49,23.82,27.98,3.33,1.29,3.81,147.69,58.55,94.92,406409,125.21,138.69,71.13,46.65,14.73,17.14,0.96,4.7,10.18,19.84,68.07,17.14,135.65,37.36,108.06,31.49,23.82,27.98,3.33,1.29,3.81,147.69,58.55,94.92,406409,125.21,138.69,71.13,46.65,14.73,17.14,0.97,4.7,10.18,19.84,68.07,17.14,2.72,5.87,6.79,11.45,13.73,18.68,21.59,22.7,16.86,10.22,7.22,0.04,406409,-0.68,4.09,6.73,7.38,13.96,18.4,23.5,23.79,17.8,10.56,5.84,1.51,2.72,5.87,6.79,11.45,13.73,18.68,21.59,22.7,16.86,10.22,7.22,0.04,406409,-0.68,4.09,6.73,7.38,13.96,18.4,23.5,23.79,17.8,10.56,5.84,1.51,2.72,5.87,6.79,11.45,13.73,18.68,21.59,22.7,16.86,10.22,7.22,0.04,406409,-0.68,4.09,6.73,7.38,13.96,18.4,23.5,23.79,17.8,10.56,5.84,1.51,486,486,486
3917276,15.83,13.93,13.93,3.77,2.56,2.56,535.52,545.07,545.07,8.28,7.3,7.3,11.08,11.69,11.69,107.43,122.24,122.24,2,2,2,11.04,12.28,12.28,2.36,2.36,2.36,43.58,42.3,42.3,105.52,254.49,254.49,159.57,165.34,165.34,263.76,261.5,261.5,83.12,84.66,84.66,9.11,9,10.7,7.89,6,5,2,3,3,6.44,10.71,11.81,9.02,9,10.36,7.98,6,5,2,3,3,6.02,10.36,11.38,9.11,9,10.7,7.89,6,5,2,3,3,6.44,10.71,11.81,64.88,63.98,63.98,546.61,517.46,517.46,125.77,38.83,112.75,37.59,33.54,38.31,4.29,2.34,3.58,164.89,74.52,108.7,406410,114.13,136.05,74.96,81.25,18.32,24.62,1.11,4.87,9.96,19.49,86.37,17.05,122.94,37.34,106.8,34.17,26.34,32.04,3.45,1.67,3.64,147.53,58.79,93.76,406410,109.33,130.21,70.55,57.49,15.4,19.39,1.03,4.92,9.56,18.09,69.68,16.34,125.77,38.83,112.75,37.59,33.54,38.31,4.29,2.34,3.58,164.89,74.52,108.7,406410,114.13,136.05,74.96,81.25,18.32,24.62,1.11,4.87,9.96,19.49,86.37,17.05,-0.27,3.88,2.91,8.21,10.06,14.99,18.33,20.33,14.62,7.21,4.57,-1.78,406410,-1.65,1.1,3.52,3.56,10.73,14.87,20.9,21.31,15.48,8.88,2.81,2.02,1.3,5.38,4.94,10.08,12.11,17.08,20.27,22.09,16.43,9.01,6.25,-0.63,406410,-0.41,2.67,5.36,5.61,12.71,16.94,22.72,23.14,17.29,10.39,4.54,2.28,-0.27,3.88,2.91,8.21,10.06,14.99,18.33,20.33,14.62,7.21,4.57,-1.78,406410,-1.65,1.1,3.52,3.56,10.73,14.87,20.9,21.31,15.48,8.88,2.81,2.02,491,470,470
3917278,17.54,14.61,14.61,2.9,2.62,2.62,571.13,549.98,549.98,9.11,7.64,7.64,10.01,11.38,11.38,95.04,117.11,117.11,2,2,2,8.01,11.48,11.48,2.36,2.36,2.36,36.83,41.27,41.27,34.02,212.92,212.92,154.05,163.21,163.21,265.98,262.34,262.34,76.61,83.14,83.14,9.07,8.83,10.4,7.75,6,4.83,2,3,3,6.36,10.41,11.49,8.92,8.11,9.12,7.11,6,4.11,2,3,3,6,9.14,10.12,9.07,8.83,10.4,7.75,6,4.83,2,3,3,6.36,10.41,11.49,65,64.17,64.17,575.79,528.46,528.46,126.09,38.54,111.66,36.77,32.02,36.85,4.12,2.17,3.62,161.77,71.45,105.87,406411,114.3,135.59,74.13,76.22,17.75,23.48,1.09,4.87,9.93,19.41,83.1,16.96,127.49,37.29,106.95,33.26,25.46,30.56,3.43,1.48,3.8,148.38,58.23,93.7,406411,115.02,133.64,70.53,54.59,15.32,18.56,1,4.85,9.78,19.05,69.04,16.56,126.09,38.54,111.66,36.77,32.02,36.85,4.12,2.17,3.62,161.77,71.45,105.87,406411,114.3,135.59,74.13,76.22,17.75,23.48,1.09,4.87,9.93,19.41,83.1,16.96,0.13,4.21,3.42,8.67,10.57,15.5,18.79,20.71,15,7.64,4.96,-1.51,406411,-1.42,1.5,3.97,4.08,11.19,15.37,21.3,21.71,15.86,9.2,3.24,2.03,1.82,5.63,5.64,10.62,12.72,17.69,20.78,22.36,16.65,9.49,6.63,-0.34,406411,-0.43,3.22,5.92,6.29,13.19,17.51,23.05,23.42,17.53,10.54,5.05,2.07,0.13,4.21,3.42,8.67,10.57,15.5,18.79,20.71,15,7.64,4.96,-1.51,406411,-1.42,1.5,3.97,4.08,11.19,15.37,21.3,21.71,15.86,9.2,3.24,2.03,450,467,467
3917280,18.49,15.66,15.66,2.61,2.65,2.65,571.26,559.42,559.42,9.85,8.25,8.25,10,10.97,10.97,83.86,108.04,108.04,2,2,2,5.93,9.97,9.97,2.36,2.36,2.36,32,38.6,38.6,230.13,193.4,193.4,148.88,159.31,159.31,267.16,263.7,263.7,70.03,79.88,79.88,8.87,8.43,9.83,7.36,5.84,4.59,2,2.98,3,6.09,9.84,11.06,8.02,7.24,8.24,6.24,5.24,4,2,2.6,3,5.24,8.24,10,8.87,8.43,9.83,7.36,5.84,4.59,2,2.98,3,6.09,9.84,11.06,65,64.4,64.4,616.25,552.23,552.23,129,38.63,112.03,36.1,30.08,34.59,3.83,1.99,3.58,158.69,69.39,103.48,406412,117.35,136.51,73.91,70.32,16.77,21.83,1.06,4.88,9.87,19.03,80.12,17.04,135.91,37.57,108.76,31.87,24,28.08,3.3,1.32,3.77,148.22,59.36,95.32,406412,125.4,138.85,71.45,47.82,14.68,17.2,0.97,4.72,10.13,19.64,68.72,17.17,129,38.63,112.03,36.1,30.08,34.59,3.83,1.99,3.58,158.69,69.39,103.48,406412,117.35,136.51,73.91,70.32,16.77,21.83,1.06,4.88,9.87,19.03,80.12,17.04,0.83,4.7,4.36,9.45,11.45,16.39,19.57,21.27,15.55,8.35,5.61,-1.05,406412,-1.16,2.22,4.75,4.99,11.97,16.22,21.91,22.3,16.42,9.62,3.97,1.94,2.72,5.88,6.8,11.46,13.74,18.68,21.59,22.7,16.87,10.22,7.23,0.05,406412,-0.66,4.1,6.74,7.39,13.97,18.41,23.5,23.79,17.81,10.57,5.85,1.53,0.83,4.7,4.36,9.45,11.45,16.39,19.57,21.27,15.55,8.35,5.61,-1.05,406412,-1.16,2.22,4.75,4.99,11.97,16.22,21.91,22.3,16.42,9.62,3.97,1.94,496,479,479
3917282,17.85,15.1,15.1,2.85,2.65,2.65,588.25,555.77,555.77,9.52,7.92,7.92,10,11.17,11.17,89.13,112.95,112.95,2,2,2,6.93,10.8,10.8,2.36,2.36,2.36,32.26,39.92,39.92,105.97,197.43,197.43,151.33,161.44,161.44,266.53,262.97,262.97,74.87,81.91,81.91,9.03,8.68,10.17,7.61,5.98,4.71,2,3,3,6.28,10.18,11.27,8.83,7.83,8.83,6.83,5.83,4,2,3,3,5.83,8.87,10,9.03,8.68,10.17,7.61,5.98,4.71,2,3,3,6.28,10.18,11.27,65,64.29,64.29,600.98,539.42,539.42,127.29,38.57,111.78,36.46,31.06,35.77,3.97,2.09,3.59,160.1,70.35,104.59,406413,115.5,135.83,73.99,73.3,17.25,22.67,1.08,4.88,9.89,19.17,81.56,16.98,133.97,38.86,112.83,34.9,25.72,29.75,3.1,1.62,3.42,150.79,64.54,97.48,406413,122.14,137.1,73.35,57.44,14.38,18.14,0.98,4.93,9.62,17.66,73.14,17.12,127.29,38.57,111.78,36.46,31.06,35.77,3.97,2.09,3.59,160.1,70.35,104.59,406413,115.5,135.83,73.99,73.3,17.25,22.67,1.08,4.88,9.89,19.17,81.56,16.98,0.46,4.45,3.86,9.04,10.98,15.92,19.16,20.99,15.27,7.98,5.27,-1.29,406413,-1.29,1.84,4.34,4.51,11.57,15.77,21.6,22,16.14,9.41,3.58,2,2.31,5.83,6.33,11.14,13.33,18.28,21.26,22.53,16.83,9.88,7.02,-0.05,406413,-0.49,3.75,6.43,6.94,13.67,18.05,23.27,23.63,17.71,10.6,5.56,1.86,0.46,4.45,3.86,9.04,10.98,15.92,19.16,20.99,15.27,7.98,5.27,-1.29,406413,-1.29,1.84,4.34,4.51,11.57,15.77,21.6,22,16.14,9.41,3.58,2,481,469,469
3917284,18.5,15.41,15.41,2.58,2.65,2.65,587.51,558.69,558.69,9.86,8.1,8.1,9.93,11.06,11.06,83.7,110.26,110.26,2,2,2,5.9,10.35,10.35,2.36,2.36,2.36,32,39.19,39.19,118.38,190.15,190.15,148.8,160.28,160.28,267.2,263.36,263.36,69.64,80.78,80.78,8.95,8.54,9.98,7.47,5.89,4.64,2,3,3,6.17,9.99,11.15,8.09,7.09,8.09,6.09,5.09,4,2,3,3,5.09,8.09,10,8.95,8.54,9.98,7.47,5.89,4.64,2,3,3,6.17,9.99,11.15,64.93,64.35,64.35,613.93,546.28,546.28,128.32,38.67,112.15,36.38,30.57,35.15,3.88,2.04,3.57,159.49,70.08,104.11,406414,116.59,136.26,74.05,72.03,16.97,22.22,1.07,4.88,9.86,19.03,80.98,17.02,138.51,39.66,115.75,35.65,25.81,29.03,2.97,1.58,3.37,153.48,67.44,99.37,406414,127.35,140.48,74.72,59.52,14.18,17.8,0.97,4.97,9.63,17.63,75.26,17.47,128.32,38.67,112.15,36.38,30.57,35.15,3.88,2.04,3.57,159.49,70.08,104.11,406414,116.59,136.26,74.05,72.03,16.97,22.22,1.07,4.88,9.86,19.03,80.98,17.02,0.66,4.59,4.14,9.27,11.24,16.18,19.39,21.14,15.43,8.18,5.46,-1.15,406414,-1.21,2.05,4.57,4.78,11.79,16.02,21.77,22.17,16.3,9.53,3.8,1.97,2.67,6.03,6.86,11.55,13.79,18.73,21.63,22.7,17.01,10.21,7.32,0.2,406414,-0.47,4.17,6.85,7.44,14.04,18.47,23.48,23.82,17.88,10.72,5.95,1.75,0.66,4.59,4.14,9.27,11.24,16.18,19.39,21.14,15.43,8.18,5.46,-1.15,406414,-1.21,2.05,4.57,4.78,11.79,16.02,21.77,22.17,16.3,9.53,3.8,1.97,546,476,476
