COMID,CAT_SOILS_A_P,ACC_SOILS_A_P,TOT_SOILS_A_P,CAT_SOILS_C_P,ACC_SOILS_C_P,TOT_SOILS_C_P,CAT_SOILS_GMU_A_P,ACC_SOILS_GMU_A_P,TOT_SOILS_GMU_A_P,CAT_SOILS_GMU_C_P,ACC_SOILS_GMU_C_P,TOT_SOILS_GMU_C_P,ACC_SRL25AG,ACC_SRL35AG,ACC_SRL45AG,ACC_SRL55AG,CAT_SRL25AG,CAT_SRL35AG,CAT_SRL45AG,CAT_SRL55AG,TOT_SRL25AG,TOT_SRL35AG,TOT_SRL45AG,TOT_SRL55AG,CAT_SALINAVE,ACC_SALINAVE,TOT_SALINAVE,CAT_PH,ACC_PH,TOT_PH,ACC_HGA,ACC_HGAC,ACC_HGAD,ACC_HGB,ACC_HGBC,ACC_HGBD,ACC_HGC,ACC_HGCD,ACC_HGD,ACC_HGVAR,CAT_HGA,CAT_HGAC,CAT_HGAD,CAT_HGB,CAT_HGBC,CAT_HGBD,CAT_HGC,CAT_HGCD,CAT_HGD,CAT_HGVAR,TOT_HGA,TOT_HGAC,TOT_HGAD,TOT_HGB,TOT_HGBC,TOT_HGBD,TOT_HGC,TOT_HGCD,TOT_HGD,TOT_HGVAR,ACC_KFACT,ACC_KFACT_UP,ACC_NO10AVE,ACC_NO200AVE,ACC_NO4AVE,ACC_OM,ACC_PERMAVE,ACC_RFACT,ACC_ROCKDEP,ACC_BDAVE,ACC_AWCAVE,ACC_WTDEP,CAT_KFACT,CAT_KFACT_UP,CAT_NO10AVE,CAT_NO200AVE,CAT_NO4AVE,CAT_OM,CAT_PERMAVE,CAT_RFACT,CAT_ROCKDEP,CAT_BDAVE,CAT_AWCAVE,CAT_WTDEP,TOT_KFACT,TOT_KFACT_UP,TOT_NO10AVE,TOT_NO200AVE,TOT_NO4AVE,TOT_OM,TOT_PERMAVE,TOT_RFACT,TOT_ROCKDEP,TOT_BDAVE,TOT_AWCAVE,TOT_WTDEP,ACC_SILTAVE,ACC_CLAYAVE,ACC_SANDAVE,CAT_SILTAVE,CAT_CLAYAVE,CAT_SANDAVE,TOT_SILTAVE,TOT_CLAYAVE,TOT_SANDAVE,...1,CAT_PMAP,ACC_PMAP,TOT_PMAP
3917220,883.78,904.47,904.47,788.77,808.73,808.73,787.91,869.36,869.36,713.47,775.44,775.44,43.57,43.57,43.57,43.57,6.99,6.99,6.99,6.99,43.57,43.57,43.57,43.57,68,7.44,7.44,7.3,6.24,6.24,18.36,0,0,42.24,0,0,17.74,0,21.65,0,0,0,0,1,0,0,36,0,63,0,18.36,0,0,42.24,0,0,17.74,0,21.65,0,0.3,0.18,57.16,37.7,62.29,1.57,2.29,276.03,46.14,1.19,0.14,5.76,0.32,0.19,83.19,65.45,88.52,2.02,0.54,180,28.11,1.35,0.14,4.75,0.3,0.18,57.16,37.7,62.29,1.57,2.29,276.03,46.14,1.19,0.14,5.76,38.85,21.42,39.73,38.8,39.88,21.33,38.85,21.42,39.73,406392,733.33,849.86,849.86
3917228,888.63,888.64,888.64,794.05,794.05,794.05,783.9,783.9,783.9,715.01,715.01,715.01,33.72,33.72,33.72,33.72,33.72,33.72,33.72,33.72,33.72,33.72,33.72,33.72,40,40,40,7.04,7.04,7.04,0,0,0,1.64,0,0,44.59,0,53.78,0,0,0,0,1.64,0,0,44.59,0,53.78,0,0,0,0,1.64,0,0,44.59,0,53.78,0,0.31,0.21,80.56,61.35,85.85,1.59,0.48,180,37.07,1.32,0.14,5.15,0.31,0.21,80.56,61.35,85.85,1.59,0.48,180,37.07,1.32,0.14,5.15,0.31,0.21,80.56,61.35,85.85,1.59,0.48,180,37.07,1.32,0.14,5.15,38.72,37.26,24.03,38.72,37.26,24.03,38.72,37.26,24.03,406395,749.05,749.05,749.05
3917230,822.85,822.85,822.85,696.21,696.21,696.21,787.91,787.91,787.91,713.47,713.47,713.47,78.83,79.27,79.27,79.27,78.83,79.27,79.27,79.27,78.83,79.27,79.27,79.27,165.75,165.75,165.75,7.68,7.68,7.68,0,0,0,2.01,0,0,49.16,0,48.83,0,0,0,0,2.01,0,0,49.16,0,48.83,0,0,0,0,2.01,0,0,49.16,0,48.83,0,0.35,0.34,80.35,55.46,85.04,0.61,0.88,115.14,57.51,1.34,0.14,4.63,0.35,0.34,80.35,55.46,85.04,0.61,0.88,115.14,57.51,1.34,0.14,4.63,0.35,0.34,80.35,55.46,85.04,0.61,0.88,115.14,57.51,1.34,0.14,4.63,42.04,27.12,30.84,42.04,27.12,30.84,42.04,27.12,30.84,406396,733.33,733.33,733.33
3917244,834.55,854.61,812.65,723.82,778.31,746.49,787.91,891.29,867.58,713.47,794.21,775.66,23.3,24.63,24.63,24.63,51.1,51.14,51.14,51.14,22.07,23.23,23.23,23.23,307.6,62.37,57.43,7.94,6.4,6.34,23.45,0,0,33.29,0,0,19.6,0,23.66,0,0,0,0,1.2,0,0,37.82,0,60.98,0,19.95,0,0,37.56,0,0,19.25,0,23.24,0,0.27,0.2,67.7,38.17,73.73,1.15,4.73,370.52,48.47,1.21,0.13,5.6,0.37,0.39,84.8,57.82,89.07,0.55,1.32,117.48,58.51,1.4,0.14,3.51,0.27,0.19,66.12,37.55,72.17,1.24,4.68,428.77,47.46,1.2,0.13,5.61,36.13,18.81,45.06,44.9,23.43,31.67,37.12,18.51,44.38,406398,733.33,937.28,0
3917250,903.42,903.42,903.42,806.93,806.93,806.93,877.64,877.64,877.64,783.49,783.49,783.49,0,0,0,0,0,0,0,0,0,0,0,0,4.73,4.73,4.73,6.17,6.17,6.17,26.7,0,0,40.52,0,0,13.21,0,19.57,0,26.7,0,0,40.52,0,0,13.21,0,19.57,0,26.7,0,0,40.52,0,0,13.21,0,19.57,0,0.29,0.18,48.87,31.03,53.91,1.72,2.81,309.43,47.36,1.14,0.16,5.83,0.29,0.18,48.87,31.03,53.91,1.72,2.81,309.43,47.36,1.14,0.16,5.83,0.29,0.18,48.87,31.03,53.91,1.72,2.81,309.43,47.36,1.14,0.16,5.83,38.25,17.4,44.36,38.25,17.4,44.36,38.25,17.4,44.36,406399,891.19,891.19,891.19
3917256,884.88,904.94,904.94,791.58,807.7,807.7,779.68,871.09,871.09,717.18,776.19,776.19,4.63,4.63,4.63,4.63,7.24,7.24,7.24,7.24,4.63,4.63,4.63,4.63,27.23,5.45,5.45,6.66,6.19,6.19,21.06,0,0,42.11,0,0,15.78,0,21.05,0,0,0,0,1,0,0,36,0,63,0,21.06,0,0,42.11,0,0,15.78,0,21.05,0,0.29,0.18,54.52,35.61,59.63,1.63,2.46,325.09,46.25,1.17,0.15,5.77,0.3,0.19,83.19,65.45,88.52,2.02,0.54,180.09,28.11,1.35,0.14,4.75,0.29,0.18,54.52,35.61,59.63,1.63,2.46,325.09,46.25,1.17,0.15,5.77,38.67,20.15,41.18,38.8,39.88,21.33,38.67,20.15,41.18,406402,778.92,943.18,943.18
3917268,878.15,903.85,903.85,785.4,806.78,806.78,782.41,867.46,867.46,715.58,773.71,773.71,25.48,25.48,25.48,25.48,79,79.02,79.02,79.02,25.48,25.48,25.48,25.48,48.13,7.19,7.19,6.96,6.22,6.22,20.2,0,0,40.44,0,0,16.8,0,22.56,0,0,0,0,1.36,0,0,40.87,0,57.77,0,20.2,0,0,40.44,0,0,16.8,0,22.56,0,0.29,0.18,55.63,36.74,60.75,1.64,2.38,319.15,45.72,1.18,0.15,5.74,0.31,0.2,81.7,63.13,87,1.77,0.5,180,33.19,1.33,0.14,4.98,0.29,0.18,55.63,36.74,60.75,1.64,2.38,319.15,45.72,1.18,0.15,5.74,38.68,20.9,40.43,38.75,38.39,22.86,38.68,20.9,40.43,406406,743.92,935.02,935.02
3917272,894.06,908.13,908.13,798.33,810.03,810.03,874.83,879.02,879.02,778.08,779.81,779.81,0,0,0,0,0,0,0,0,0,0,0,0,9.63,3.14,3.14,6.26,6.14,6.14,20.88,0,0,47.89,0,0,14.57,0,16.67,0,11.66,0,0,42.18,0,0,20.64,0,25.52,0,20.88,0,0,47.89,0,0,14.57,0,16.67,0,0.29,0.18,53.79,34.21,58.91,1.54,2.53,350.37,47.92,1.17,0.14,5.86,0.3,0.18,64.36,43.94,69.58,1.53,1.85,283.02,43.64,1.23,0.13,5.62,0.29,0.18,53.79,34.21,58.91,1.54,2.53,350.37,47.92,1.17,0.14,5.86,38.86,19.09,42.05,39.3,25.25,35.45,38.86,19.09,42.05,406408,838.49,988.53,988.53
3917274,880.37,880.37,880.37,788.46,788.46,788.46,776.24,776.24,776.24,717.96,717.96,717.96,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,25,25,25,6.48,6.48,6.48,0,0,0,1,0,0,36,0,63,0,0,0,0,1,0,0,36,0,63,0,0,0,0,1,0,0,36,0,63,0,0.3,0.19,83.19,65.45,88.52,2.02,0.54,186.61,28.11,1.35,0.14,4.75,0.3,0.19,83.19,65.45,88.52,2.02,0.54,186.61,28.11,1.35,0.14,4.75,0.3,0.19,83.19,65.45,88.52,2.02,0.54,186.61,28.11,1.35,0.14,4.75,38.8,39.88,21.33,38.8,39.88,21.33,38.8,39.88,21.33,406409,787.47,787.47,787.47
3917276,887.98,894.65,894.65,792.09,799.48,799.48,874.72,946.51,946.51,785.06,812.55,812.55,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,14.49,3.98,3.98,6.28,6.12,6.12,6.28,0,0,61.98,0,0,18.96,0,12.79,0,4.37,0,0,43.41,0,0,24.15,0,28.08,0,6.28,0,0,61.98,0,0,18.96,0,12.79,0,0.3,0.19,66.82,43.35,72.11,1.17,1.77,342.87,48.03,1.25,0.11,5.87,0.3,0.19,71.81,50.08,77.11,1.43,1.39,300,41.96,1.28,0.12,5.53,0.3,0.19,66.82,43.35,72.11,1.17,1.77,342.87,48.03,1.25,0.11,5.87,40.26,24.21,35.52,39.82,28.98,31.2,40.26,24.21,35.52,406410,890.13,992.52,992.52
3917278,883.92,892.63,892.63,789.6,797.62,797.62,854.98,929.25,929.25,763.77,803.35,803.35,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,24.7,7.89,7.89,6.48,6.19,6.19,5.13,0,0,50.85,0,0,22.07,0,21.95,0,0.2,0,0,2.96,0,0,35.45,0,61.39,0,5.13,0,0,50.85,0,0,22.07,0,21.95,0,0.3,0.19,69.81,47.38,75.11,1.32,1.54,327.32,44.39,1.27,0.11,5.67,0.3,0.19,82.67,64.74,88,1.99,0.58,260.42,28.74,1.35,0.14,4.79,0.3,0.19,69.81,47.38,75.11,1.32,1.54,327.32,44.39,1.27,0.11,5.67,39.99,27.07,32.93,38.84,39.38,21.78,39.99,27.07,32.93,406411,809.34,957.98,957.98
3917280,875.24,887.27,887.27,783.22,793.02,793.02,780.54,885.67,885.67,716.3,778.19,778.19,43.8,43.96,43.96,43.96,60.79,61.39,61.39,61.39,43.8,43.96,43.96,43.96,48.94,16.61,16.61,6.87,6.36,6.36,3.64,0,0,36.46,0,0,27.54,0,32.36,0,0,0,0,1.73,0,0,45.81,0,52.47,0,3.64,0,0,36.46,0,0,27.54,0,32.36,0,0.3,0.19,73.26,51.96,78.57,1.46,1.24,290.22,41.13,1.29,0.12,5.47,0.31,0.22,80.18,60.77,85.47,1.53,0.47,182.19,38.34,1.32,0.14,5.21,0.3,0.19,73.26,51.96,78.57,1.46,1.24,290.22,41.13,1.29,0.12,5.47,39.63,30.36,30,38.71,36.88,24.41,39.63,30.36,30,406412,765.16,906.12,906.12
3917282,877.42,890.39,890.39,783.99,795.63,795.63,776.48,906.43,906.43,717.87,790.59,790.59,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,26.74,10.68,10.68,6.58,6.25,6.25,4.37,0,0,43.4,0,0,24.16,0,28.08,0,0,0,0,1,0,0,36.03,0,62.96,0,4.37,0,0,43.4,0,0,24.16,0,28.08,0,0.3,0.19,71.8,50.08,77.11,1.43,1.39,309.38,41.96,1.28,0.12,5.53,0.3,0.19,83.18,65.43,88.51,2.02,0.54,208.81,28.14,1.35,0.14,4.75,0.3,0.19,71.8,50.08,77.11,1.43,1.39,309.38,41.96,1.28,0.12,5.53,39.81,28.98,31.2,38.79,39.87,21.34,39.81,28.98,31.2,406413,790.41,932.92,932.92
3917284,870.32,888.54,888.54,778.62,794.07,794.07,780.92,894.89,894.89,716.16,783.74,783.74,34.61,34.61,34.61,34.61,36.59,36.6,36.6,36.6,34.61,34.61,34.61,34.61,38.95,13.28,13.28,6.88,6.3,6.3,3.96,0,0,39.54,0,0,25.7,0,30.8,0,0,0,0,1.37,0,0,40.94,0,57.69,0,3.96,0,0,39.54,0,0,25.7,0,30.8,0,0.3,0.19,72.71,51.27,78.02,1.46,1.31,299.41,41.16,1.29,0.12,5.48,0.31,0.2,81.68,63.09,86.98,1.77,0.5,200.99,33.26,1.33,0.14,4.98,0.3,0.19,72.71,51.27,78.02,1.46,1.31,299.41,41.16,1.29,0.12,5.48,39.72,29.84,30.44,38.75,38.37,22.88,39.72,29.84,30.44,406414,781.26,918.97,918.97
3917286,867.13,867.13,867.13,776.05,776.05,776.05,786.01,786.01,786.01,714.2,714.2,714.2,53.39,53.39,53.39,53.39,53.39,53.39,53.39,53.39,53.39,53.39,53.39,53.39,67.79,67.79,67.79,7.3,7.3,7.3,0,0,0,2.36,0,0,54.41,0,43.23,0,0,0,0,2.36,0,0,54.41,0,43.23,0,0,0,0,2.36,0,0,54.41,0,43.23,0,0.32,0.25,77.54,56.67,82.78,1.1,0.41,199.46,47.32,1.29,0.14,5.6,0.32,0.25,77.54,56.67,82.78,1.1,0.41,199.46,47.32,1.29,0.14,5.6,0.32,0.25,77.54,56.67,82.78,1.1,0.41,199.46,47.32,1.29,0.14,5.6,38.63,34.26,27.12,38.63,34.26,27.12,38.63,34.26,27.12,406415,752.14,752.14,752.14
3917912,941.43,959.11,959.11,842.03,850.46,850.46,928.26,997.18,997.18,808.69,834.4,834.4,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,0,27.53,27.53,6.08,6.15,6.15,30.94,0,0,49.43,0,0,12.1,0,7.53,0,35.38,0,0,40.62,0,0,8.68,0,15.32,0,30.94,0,0,49.43,0,0,12.1,0,7.53,0,0.27,0.17,63.03,33.14,68.46,0.95,4.51,287.13,52.59,1.22,0.1,5.95,0.29,0.18,39.77,23.3,44.7,1.81,3.38,334.01,49.82,1.09,0.17,5.97,0.27,0.17,63.03,33.14,68.46,0.95,4.51,287.13,52.59,1.22,0.1,5.95,35.3,16.66,48.04,37.68,12.65,49.67,35.3,16.66,48.04,406496,1114.56,1166.43,1166.43
3917914,946.88,949.95,949.95,826.15,829.63,829.63,1014.17,1021.37,1021.37,844.88,846.81,846.81,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,14.82,23.36,23.36,6.09,6.1,6.1,23.89,0,0,56.49,0,0,13.62,0,6.01,0,17.06,0,0,61.54,0,0,14.99,0,6.41,0,23.89,0,0,56.49,0,0,13.62,0,6.01,0,0.28,0.18,64.57,35.7,70.01,0.94,3.81,213.82,52.17,1.23,0.1,5.99,0.29,0.18,64.72,37.76,70.1,0.99,3.04,210.83,51.42,1.23,0.1,5.99,0.28,0.18,64.57,35.7,70.01,0.94,3.81,213.82,52.17,1.23,0.1,5.99,36.54,18.57,44.9,38.11,20.12,41.77,36.54,18.57,44.9,406497,1216.11,1201.97,1201.97
3917916,951.16,942.47,942.47,841.19,829.63,829.63,959.73,981.48,981.48,820.01,829.38,829.38,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,0.54,7.23,7.23,6.06,6.07,6.07,12.62,0,0,64.83,0,0,15.88,0,6.67,0,9.16,0,0,67.4,0,0,16.57,0,6.87,0,12.62,0,0,64.83,0,0,15.88,0,6.67,0,0.29,0.19,64.81,39.1,70.15,1.02,2.54,274.15,50.94,1.24,0.1,6,0.3,0.19,64.89,40.15,70.2,1.05,2.15,277.15,50.56,1.24,0.1,6,0.29,0.19,64.81,39.1,70.15,1.02,2.54,274.15,50.94,1.24,0.1,6,39.13,21.12,39.74,39.93,21.91,38.15,39.13,21.12,39.74,406498,1199.09,1216.53,1216.53
3917918,910.65,949.2,949.2,815.68,844.44,844.44,954.7,1003.16,1003.16,882.79,862.23,862.23,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,10.93,22.61,22.61,6.26,6.18,6.18,26.83,0,0,42.84,0,0,14.79,0,15.54,0,16.92,0,0,29.66,0,0,20.74,0,32.67,0,26.83,0,0,42.84,0,0,14.79,0,15.54,0,0.28,0.18,62.37,36.09,67.73,1.21,3.76,290.41,49.05,1.22,0.11,5.81,0.3,0.18,60.86,42.66,66.01,1.77,2.03,268.77,41.39,1.21,0.15,5.5,0.28,0.18,62.37,36.09,67.73,1.21,3.76,290.41,49.05,1.22,0.11,5.81,36.25,19.22,44.53,38.56,24.9,36.54,36.25,19.22,44.53,406499,799.12,1077.09,1077.09
3917920,892.08,906.95,906.95,798.04,813.67,813.67,1034.27,1050.96,1050.96,984.14,1002.47,1002.47,51.37,51.37,51.37,51.37,50.29,50.29,50.29,50.29,51.37,51.37,51.37,51.37,27.31,25.58,25.58,6.53,6.49,6.49,0,0,0,1,0,0,36,0,63,0,0,0,0,1,0,0,36,0,63,0,0,0,0,1,0,0,36,0,63,0,0.3,0.19,83.19,65.45,88.52,2.02,0.54,215.22,28.11,1.35,0.14,4.75,0.3,0.19,83.19,65.45,88.52,2.02,0.54,172,28.11,1.35,0.14,4.75,0.3,0.19,83.19,65.45,88.52,2.02,0.54,215.22,28.11,1.35,0.14,4.75,38.8,39.88,21.33,38.8,39.88,21.33,38.8,39.88,21.33,406500,733.78,733.45,733.45
3917922,889.58,889.58,889.58,794.35,794.35,794.35,1051.03,1051.03,1051.03,1002.55,1002.55,1002.55,65.99,65.99,65.99,65.99,65.99,65.99,65.99,65.99,65.99,65.99,65.99,65.99,25.8,25.8,25.8,6.5,6.5,6.5,0,0,0,1.12,0,0,37.64,0,61.23,0,0,0,0,1.12,0,0,37.64,0,61.23,0,0,0,0,1.12,0,0,37.64,0,61.23,0,0.3,0.19,82.69,64.67,88.01,1.94,0.52,180.86,29.82,1.34,0.14,4.83,0.3,0.19,82.69,64.67,88.01,1.94,0.52,180.86,29.82,1.34,0.14,4.83,0.3,0.19,82.69,64.67,88.01,1.94,0.52,180.86,29.82,1.34,0.14,4.83,38.78,39.38,21.84,38.78,39.38,21.84,38.78,39.38,21.84,406501,733.33,733.33,733.33
3917946,807.58,853.63,812.61,676.81,776.13,745.41,787.91,888.99,866.29,713.47,792.41,774.65,28.4,29.65,29.65,29.65,71.81,72.36,72.36,72.36,25.85,26.96,26.96,26.96,279.58,66.76,60.73,7.84,6.44,6.37,22.93,0,0,32.58,0,0,20.08,0,24.41,0,0,0,0,1.34,0,0,39.64,0,59.02,0,19.62,0,0,36.97,0,0,19.61,0,23.79,0,0.27,0.2,68.05,38.59,74.05,1.13,4.66,364.9,48.68,1.22,0.13,5.56,0.36,0.38,84.09,57.44,88.43,0.56,1.25,118.74,58.35,1.39,0.14,3.69,0.27,0.19,66.4,37.87,72.42,1.22,4.62,423.72,47.64,1.2,0.13,5.58,36.31,18.94,44.76,44.44,24.02,31.54,37.23,18.61,44.16,406511,733.33,932.74,0
3917948,874.48,941.33,941.33,778.97,838.05,838.05,787.91,1003.92,1003.92,713.47,875.65,875.65,56.86,56.86,56.86,56.86,31.14,31.14,31.14,31.14,56.86,56.86,56.86,56.86,276.38,28.04,28.04,7.91,6.26,6.26,22.98,0,0,36.87,0,0,18.18,0,21.98,0,0,0,0,1.53,0,0,42.44,0,56.03,0,22.98,0,0,36.87,0,0,18.18,0,21.98,0,0.28,0.18,65.29,40.04,70.62,1.29,3.31,276.3,46.82,1.24,0.12,5.65,0.37,0.36,82.91,57.11,87.39,0.63,1.11,161.92,57.05,1.37,0.14,4.02,0.28,0.18,65.29,40.04,70.62,1.29,3.31,276.3,46.82,1.24,0.12,5.65,36.7,21.84,41.45,43.51,25.52,30.97,36.7,21.84,41.45,406512,733.33,1027.8,0
3917950,851.28,854.97,812.37,753.33,779.29,746.78,787.91,893.14,868.61,713.47,795.65,776.46,20.61,22.07,22.07,22.07,21.39,27.87,27.87,27.87,20.16,21.39,21.39,21.39,421.26,57.97,54.18,8.24,6.38,6.32,23.87,0,0,33.86,0,0,19.27,0,22.99,0,0,0,0,0.31,0,0,25.38,0,74.31,0,20.21,0,0,38.03,0,0,19.01,0,22.75,0,0.27,0.19,67.39,37.82,73.46,1.16,4.8,375.05,48.29,1.21,0.13,5.64,0.4,0.44,89.69,60.42,93.51,0.49,1.8,138.34,59.61,1.46,0.14,2.28,0.27,0.19,65.88,37.28,71.95,1.24,4.72,432.79,47.32,1.2,0.13,5.64,35.98,18.72,45.3,48.04,19.37,32.59,37.02,18.44,44.54,406513,733.33,940.93,0
3917956,914.95,914.95,914.95,815.7,815.7,815.7,881.05,881.05,881.05,780.65,780.65,780.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.07,6.07,6.07,25.35,0,0,50.65,0,0,11.62,0,12.38,0,25.35,0,0,50.65,0,0,11.62,0,12.38,0,25.35,0,0,50.65,0,0,11.62,0,12.38,0,0.29,0.18,48.66,29.49,53.73,1.55,2.86,383.02,50,1.14,0.15,5.98,0.29,0.18,48.66,29.49,53.73,1.55,2.86,383.02,50,1.14,0.15,5.98,0.29,0.18,48.66,29.49,53.73,1.55,2.86,383.02,50,1.14,0.15,5.98,38.65,16.1,45.25,38.65,16.1,45.25,38.65,16.1,45.25,406516,1061.27,1061.27,1061.27
3917958,901.79,901.79,901.79,805.39,805.39,805.39,905.89,905.89,905.89,796.42,796.42,796.42,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,0,0,0,6.06,6.06,6.06,7,0,0,69,0,0,17,0,7,0,7,0,0,69,0,0,17,0,7,0,7,0,0,69,0,0,17,0,7,0,0.3,0.19,64.93,40.8,70.22,1.07,1.91,356.33,50.32,1.24,0.1,6,0.3,0.19,64.93,40.8,70.22,1.07,1.91,356.33,50.32,1.24,0.1,6,0.3,0.19,64.93,40.8,70.22,1.07,1.91,356.33,50.32,1.24,0.1,6,40.43,22.4,37.16,40.43,22.4,37.16,40.43,22.4,37.16,406517,990.22,990.22,990.22
3917960,894.38,894.38,894.38,800.39,800.39,800.39,1014.59,1014.59,1014.59,838.98,838.98,838.98,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,0,0,0,6.06,6.06,6.06,7,0,0,69,0,0,17,0,7,0,7,0,0,69,0,0,17,0,7,0,7,0,0,69,0,0,17,0,7,0,0.3,0.19,64.93,40.8,70.22,1.07,1.91,360.75,50.32,1.24,0.1,6,0.3,0.19,64.93,40.8,70.22,1.07,1.91,360.75,50.32,1.24,0.1,6,0.3,0.19,64.93,40.8,70.22,1.07,1.91,360.75,50.32,1.24,0.1,6,40.43,22.4,37.16,40.43,22.4,37.16,40.43,22.4,37.16,406518,1056.05,1056.05,1056.05
948010089,880.44,888.77,888.77,785.71,793.58,793.58,942.96,1041.37,1041.37,883.83,991.95,991.95,70.4,70.4,70.4,70.4,93.54,93.54,93.54,93.54,70.4,70.4,70.4,70.4,62.17,29.05,29.05,7.21,6.56,6.56,0,0,0,1.26,0,0,39.49,0,59.25,0,0,0,0,2.65,0,0,58.32,0,39.02,0,0,0,0,1.26,0,0,39.49,0,59.25,0,0.3,0.2,82.12,63.79,87.43,1.85,0.51,180.07,31.75,1.33,0.14,4.91,0.31,0.26,76.34,54.8,81.56,0.91,0.38,172,51.4,1.28,0.14,5.78,0.3,0.2,82.12,63.79,87.43,1.85,0.51,180.07,31.75,1.33,0.14,4.91,38.76,38.82,22.42,38.59,33.06,28.35,38.76,38.82,22.42,2695742,733.33,733.33,0
